"county","state","prop_higher_education"
"Clay","IA","23.9"
"Clayton","IA","17.4"
"Clinton","IA","21.3"
"Crawford","IA","16.8"
"Dallas","IA","50.4"
"Davis","IA","19.1"
"Decatur","IA","26.4"
"Delaware","IA","18.8"
"Des Moines","IA","21.9"
"Dickinson","IA","31.5"
"Dubuque","IA","32.1"
"Emmet","IA","16.3"
"Fayette","IA","17.2"
"Floyd","IA","20.3"
"Franklin","IA","18.0"
"Fremont","IA","18.0"
"Greene","IA","20.5"
"Grundy","IA","25.9"
"Guthrie","IA","20.6"
"Hamilton","IA","24.2"
"Hancock","IA","20.3"
"Hardin","IA","19.7"
"Harrison","IA","19.3"
"Henry","IA","21.7"
"Howard","IA","18.2"
"Humboldt","IA","18.3"
"Ida","IA","19.3"
"Iowa","IA","23.1"
"Jackson","IA","19.3"
"Jasper","IA","19.1"
"Jefferson","IA","38.3"
"Johnson","IA","54.1"
"Jones","IA","21.7"
"Keokuk","IA","17.0"
"Kossuth","IA","18.9"
"Lee","IA","19.2"
"Linn","IA","34.3"
"Louisa","IA","15.3"
"Lucas","IA","14.9"
"Lyon","IA","19.3"
"Madison","IA","24.8"
"Mahaska","IA","21.0"
"Marion","IA","30.9"
"Marshall","IA","20.7"
"Mills","IA","28.7"
"Mitchell","IA","21.5"
"Monona","IA","15.0"
"Monroe","IA","19.8"
"Montgomery","IA","18.7"
"Muscatine","IA","22.9"
"O'Brien","IA","21.3"
"Osceola","IA","17.0"
"Page","IA","17.3"
"Palo Alto","IA","23.3"
"Plymouth","IA","23.8"
"Pocahontas","IA","17.1"
"Polk","IA","38.0"
"Pottawattamie","IA","22.9"
"Poweshiek","IA","29.6"
"Ringgold","IA","20.3"
"Sac","IA","18.1"
"Scott","IA","33.6"
"Shelby","IA","22.0"
"Sioux","IA","31.1"
"Story","IA","51.1"
"Tama","IA","16.5"
"Taylor","IA","17.2"
"Union","IA","22.7"
"Van Buren","IA","16.3"
"Wapello","IA","19.1"
"Warren","IA","32.3"
"Washington","IA","23.6"
"Wayne","IA","15.2"
"Webster","IA","19.9"
"Winnebago","IA","24.1"
"Winneshiek","IA","30.6"
"Woodbury","IA","23.3"
"Worth","IA","20.0"
"Wright","IA","19.4"
"Ada","ID","40.7"
"Adams","ID","18.5"
"Bannock","ID","29.0"
"Bear Lake","ID","19.1"
"Benewah","ID","18.2"
"Bingham","ID","19.6"
"Blaine","ID","42.4"
"Boise","ID","27.8"
"Bonner","ID","26.6"
"Bonneville","ID","31.3"
"Boundary","ID","16.3"
"Butte","ID","14.7"
"Camas","ID","23.4"
"Canyon","ID","20.7"
"Caribou","ID","18.9"
"Cassia","ID","18.7"
"Clark","ID","19.2"
"Clearwater","ID","18.1"
"Custer","ID","27.5"
"Elmore","ID","19.5"
"Franklin","ID","15.5"
"Fremont","ID","21.3"
"Gem","ID","21.3"
"Gooding","ID","15.5"
"Idaho","ID","22.0"
"Jefferson","ID","25.2"
"Jerome","ID","13.6"
"Kootenai","ID","26.5"
"Latah","ID","43.9"
"Lemhi","ID","21.9"
"Lewis","ID","18.9"
"Lincoln","ID","11.8"
"Madison","ID","36.3"
"Minidoka","ID","12.9"
"Nez Perce","ID","25.4"
"Oneida","ID","22.5"
"Owyhee","ID","13.3"
"Payette","ID","18.5"
"Power","ID","13.8"
"Shoshone","ID","11.3"
"Teton","ID","46.6"
"Twin Falls","ID","23.5"
"Valley","ID","29.5"
"Washington","ID","17.5"
"Adams","IL","25.7"
"Alexander","IL","12.3"
"Bond","IL","21.2"
"Boone","IL","24.8"
"Brown","IL","13.0"
"Bureau","IL","20.4"
"Calhoun","IL","17.3"
"Carroll","IL","19.9"
"Cass","IL","18.2"
"Champaign","IL","45.5"
"Christian","IL","18.2"
"Clark","IL","23.4"
"Clay","IL","14.8"
"Clinton","IL","23.1"
"Coles","IL","25.7"
"Cook","IL","40.7"
"Crawford","IL","17.3"
"Cumberland","IL","19.2"
"De Witt","IL","20.9"
"DeKalb","IL","33.2"
"Douglas","IL","19.1"
"DuPage","IL","50.7"
"Edgar","IL","18.2"
"Edwards","IL","13.3"
"Effingham","IL","23.1"
"Fayette","IL","12.6"
"Ford","IL","21.7"
"Franklin","IL","17.7"
"Fulton","IL","18.3"
"Gallatin","IL","11.0"
"Greene","IL","16.5"
"Grundy","IL","26.6"
"Hamilton","IL","18.7"
"Hancock","IL","24.5"
"Hardin","IL","13.4"
"Henderson","IL","18.6"
"Henry","IL","23.9"
"Iroquois","IL","15.9"
"Jackson","IL","34.2"
"Jasper","IL","19.8"
"Jefferson","IL","18.2"
"Jersey","IL","22.4"
"Jo Daviess","IL","25.1"
"Johnson","IL","17.3"
"Kane","IL","36.0"
"Kankakee","IL","20.7"
"Kendall","IL","35.3"
"Knox","IL","19.7"
"LaSalle","IL","18.5"
"Lake","IL","46.3"
"Lawrence","IL","13.3"
"Lee","IL","18.6"
"Livingston","IL","16.8"
"Logan","IL","21.1"
"Macon","IL","23.5"
"Macoupin","IL","18.5"
"Madison","IL","28.5"
"Marion","IL","16.2"
"Marshall","IL","18.0"
"Mason","IL","16.7"
"Massac","IL","13.1"
"McDonough","IL","32.2"
"McHenry","IL","35.2"
"McLean","IL","45.6"
"Menard","IL","24.4"
"Mercer","IL","18.7"
"Monroe","IL","37.1"
"Montgomery","IL","17.9"
"Morgan","IL","21.1"
"Moultrie","IL","19.8"
"Ogle","IL","21.6"
"Peoria","IL","32.9"
"Perry","IL","11.6"
"Piatt","IL","31.1"
"Pike","IL","17.6"
"Pope","IL","14.5"
"Pulaski","IL","14.7"
"Putnam","IL","20.0"
"Randolph","IL","13.2"
"Richland","IL","19.4"
"Rock Island","IL","23.6"
"Saline","IL","19.2"
"Sangamon","IL","34.0"
"Schuyler","IL","17.4"
"Scott","IL","22.1"
"Shelby","IL","17.4"
"St. Clair","IL","29.6"
"Stark","IL","19.5"
"Stephenson","IL","21.3"
"Tazewell","IL","27.7"
"Union","IL","22.7"
"Vermilion","IL","16.3"
"Wabash","IL","18.5"
"Warren","IL","22.4"
"Washington","IL","22.6"
"Wayne","IL","15.2"
"White","IL","16.2"
"Whiteside","IL","18.8"
"Will","IL","35.4"
"Williamson","IL","26.6"
"Winnebago","IL","23.3"
"Woodford","IL","34.9"
"Adams","IN","14.4"
"Allen","IN","29.9"
"Bartholomew","IN","35.2"
"Benton","IN","17.5"
"Blackford","IN","14.2"
"Boone","IN","49.4"
"Brown","IN","27.7"
"Carroll","IN","14.7"
"Cass","IN","13.6"
"Clark","IN","22.8"
"Clay","IN","16.3"
"Clinton","IN","14.9"
"Crawford","IN","11.7"
"Daviess","IN","13.7"
"DeKalb","IN","18.7"
"Dearborn","IN","24.9"
"Decatur","IN","20.8"
"Delaware","IN","25.4"
"Dubois","IN","24.6"
"Elkhart","IN","20.0"
"Fayette","IN","15.1"
"Floyd","IN","30.3"
"Fountain","IN","13.0"
"Franklin","IN","21.4"
"Fulton","IN","16.3"
"Gibson","IN","18.2"
"Grant","IN","19.6"
"Greene","IN","15.7"
"Hamilton","IN","60.5"
"Hancock","IN","32.6"
"Harrison","IN","18.8"
"Hendricks","IN","39.5"
"Henry","IN","17.5"
"Howard","IN","20.8"
"Huntington","IN","20.9"
"Jackson","IN","17.5"
"Jasper","IN","17.4"
"Jay","IN","12.9"
"Jefferson","IN","18.4"
"Jennings","IN","15.4"
"Johnson","IN","32.8"
"Knox","IN","18.6"
"Kosciusko","IN","24.3"
"LaGrange","IN","10.4"
"LaPorte","IN","19.7"
"Lake","IN","23.7"
"Lawrence","IN","19.8"
"Madison","IN","19.0"
"Marion","IN","32.8"
"Marshall","IN","20.5"
"Martin","IN","14.4"
"Miami","IN","14.7"
"Monroe","IN","47.4"
"Montgomery","IN","20.2"
"Morgan","IN","19.1"
"Newton","IN","11.7"
"Noble","IN","16.3"
"Ohio","IN","15.7"
"Orange","IN","13.3"
"Owen","IN","14.0"
"Parke","IN","13.0"
"Perry","IN","15.6"
"Pike","IN","14.2"
"Porter","IN","30.3"
"Posey","IN","24.2"
"Pulaski","IN","13.1"
"Putnam","IN","17.7"
"Randolph","IN","16.2"
"Ripley","IN","19.2"
"Rush","IN","16.3"
"Scott","IN","13.3"
"Shelby","IN","18.7"
"Spencer","IN","19.2"
"St. Joseph","IN","32.1"
"Starke","IN","11.9"
"Steuben","IN","22.9"
"Sullivan","IN","12.6"
"Switzerland","IN","9.2"
"Tippecanoe","IN","40.6"
"Tipton","IN","24.8"
"Union","IN","19.9"
"Vanderburgh","IN","27.2"
"Vermillion","IN","16.5"
"Vigo","IN","25.1"
"Wabash","IN","19.9"
"Warren","IN","18.0"
"Warrick","IN","32.8"
"Washington","IN","12.8"
"Wayne","IN","19.4"
"Wells","IN","18.0"
"White","IN","17.6"
"Whitley","IN","23.1"
"Allen","KS","18.7"
"Anderson","KS","16.4"
"Atchison","KS","22.1"
"Barber","KS","24.7"
"Barton","KS","20.9"
"Bourbon","KS","23.5"
"Brown","KS","19.1"
"Butler","KS","32.3"
"Chase","KS","29.3"
"Chautauqua","KS","15.2"
"Cherokee","KS","19.6"
"Cheyenne","KS","21.6"
"Clark","KS","27.3"
"Clay","KS","25.8"
"Cloud","KS","22.3"
"Coffey","KS","22.7"
"Comanche","KS","18.1"
"Cowley","KS","24.1"
"Crawford","KS","30.1"
"Decatur","KS","22.3"
"Dickinson","KS","24.5"
"Doniphan","KS","18.7"
"Douglas","KS","52.3"
"Edwards","KS","18.2"
"Elk","KS","18.0"
"Ellis","KS","37.4"
"Ellsworth","KS","20.8"
"Finney","KS","17.7"
"Ford","KS","20.5"
"Franklin","KS","23.0"
"Geary","KS","23.9"
"Gove","KS","19.6"
"Graham","KS","26.4"
"Grant","KS","24.1"
"Gray","KS","23.1"
"Greeley","KS","29.3"
"Greenwood","KS","17.6"
"Hamilton","KS","19.4"
"Harper","KS","16.8"
