"county","state","mean_household_income","unemployment","private_insurance","public_insurance","no_insurance"
"Carroll","KY",66946,7.7,55.8,43.5,9.6
"Carter","KY",57755,5.2,49.1,54.3,9.5
"Casey","KY",52149,9.7,46.2,55.7,11.2
"Christian","KY",64296,7.9,61.5,43.5,8.4
"Clark","KY",80725,4.6,64.5,46.2,4.5
"Clay","KY",45279,10.2,35.8,69.3,5.5
"Clinton","KY",52592,4.6,47.2,61,6.6
"Crittenden","KY",63787,3.1,58.2,46.5,10.5
"Cumberland","KY",47686,3.8,48.8,55,10.9
"Daviess","KY",78267,4.2,67.9,41,5
"Edmonson","KY",56360,7.5,54.9,51.4,8.7
"Elliott","KY",47393,5.2,41.9,62.3,8.6
"Estill","KY",48876,7.1,45.1,61.6,6
"Fayette","KY",88901,4.9,70.9,33.1,6.8
"Fleming","KY",62007,8.2,54.4,50.5,9.3
"Floyd","KY",51233,9.1,45.5,63.1,4.3
"Franklin","KY",78841,4.8,69.4,39.7,7.1
"Fulton","KY",43326,6.7,43.7,64.6,6.2
"Gallatin","KY",66412,4.3,59.3,39.2,10.7
"Garrard","KY",74954,4.1,61.8,44.8,7.3
"Grant","KY",72149,4.2,63.9,43.9,4.5
"Graves","KY",65097,4.8,58.1,49.2,6.6
"Grayson","KY",57535,4.4,55.1,52.2,5.6
"Green","KY",55977,8.6,47.5,59.5,8.1
"Greenup","KY",74508,5.6,67.1,45.6,5.4
"Hancock","KY",73583,5,69.5,40,4.7
"Hardin","KY",81485,6.6,70.8,40.9,5.2
"Harlan","KY",44343,12.6,37.4,68.7,5.4
"Harrison","KY",68904,3.3,63.5,46.7,4.9
"Hart","KY",58422,5,52.3,49.3,10.1
"Henderson","KY",67408,3.2,65,45.7,3.6
"Henry","KY",75035,5.4,58.3,46.1,10.1
"Hickman","KY",78380,6,59.4,54.2,4.7
"Hopkins","KY",62007,7.2,60.6,48.4,5.7
"Jackson","KY",46089,7.2,47.4,56.7,7
"Jefferson","KY",86099,5.3,68.7,39.6,5.3
"Jessamine","KY",95154,4.6,69.4,39.2,6.2
"Johnson","KY",57071,6.6,49.8,60.2,4.8
"Kenton","KY",91344,4.2,72.2,33.3,5.4
"Knott","KY",44884,11.3,37.6,69.4,6.5
"Knox","KY",47979,9,39,64.9,6
"Larue","KY",64528,3,65,44.4,5.7
"Laurel","KY",61824,5.1,53.2,51.7,7.9
"Lawrence","KY",53890,5.3,46.9,60.7,6.7
"Lee","KY",46637,7.5,43.8,65.2,2.6
"Leslie","KY",46525,7.4,37.4,69.3,2.8
"Letcher","KY",50795,10,42.4,68.1,3.7
"Lewis","KY",46004,8,47.8,59.7,5.2
"Lincoln","KY",56415,5.9,53.2,52.1,7.6
"Livingston","KY",67799,6.8,60.3,47.9,5
"Logan","KY",64357,5.4,61.4,43.6,8.7
"Lyon","KY",70676,3.2,64.5,47.6,5.3
"Madison","KY",73760,6.1,67.1,39.8,5.5
"Magoffin","KY",48464,11.2,44.4,64.2,5.1
"Marion","KY",60075,5.6,64.5,48.9,2.9
"Marshall","KY",74072,3.5,65.7,43.6,6.5
"Martin","KY",53281,7.5,48.1,58.7,5.5
"Mason","KY",77694,3.7,57.5,48.2,7.6
"McCracken","KY",76696,3.9,61.3,47.4,5.5
"McCreary","KY",44600,6.9,43.1,66.1,3.6
"McLean","KY",74408,6.1,68.5,41.7,3.8
"Meade","KY",81630,5.1,69.6,42.1,4.2
"Menifee","KY",52019,5.4,42.2,62.5,6.6
"Mercer","KY",65944,5.3,65.2,44.7,6
"Metcalfe","KY",53572,3.3,59.3,52.3,4.2
"Monroe","KY",58856,4.4,52.9,52.9,6.3
"Montgomery","KY",58521,6.8,55.5,50.1,6
"Morgan","KY",57478,4.2,47.9,55.5,8.1
"Muhlenberg","KY",71723,5.9,59.2,52.3,4.9
"Nelson","KY",81819,3.8,73.2,36.4,5.7
"Nicholas","KY",58653,4.1,56.9,54.3,4.8
"Ohio","KY",62781,4.5,60.2,48.7,5.8
"Oldham","KY",142091,3.8,84.9,23.5,3
"Owen","KY",69230,4,62.7,42,8.1
"Owsley","KY",44426,15.7,34.6,73.3,3.6
"Pendleton","KY",67821,5,62.4,45.3,4.4
"Perry","KY",63079,10.6,48,62.3,4.8
"Pike","KY",54314,8.5,54.1,57.5,5.3
"Powell","KY",54593,7.5,57,51.3,6.1
"Pulaski","KY",64568,5.6,55.6,53.2,6.4
"Robertson","KY",69328,8.6,50.4,54.9,7
"Rockcastle","KY",57950,7.2,52.6,56.4,5.1
"Rowan","KY",68101,4,60.8,45.6,5.5
"Russell","KY",55231,6.8,51.5,56.8,5.7
"Scott","KY",90553,3.2,77.7,27.7,5
"Shelby","KY",93442,3.7,69.5,35.2,7.7
"Simpson","KY",63920,4.1,62.4,43.6,7
"Spencer","KY",103694,5.7,79,30,3.9
"Taylor","KY",69766,6.3,65.3,46.9,3.3
"Todd","KY",71577,3.4,49.1,40.3,20.7
"Trigg","KY",66814,4.9,61.3,47.1,10.9
"Trimble","KY",68832,9.3,64.1,44.8,5.4
"Union","KY",61614,3.9,69.3,40,5.5
"Warren","KY",81129,4.7,68,38.5,5.7
"Washington","KY",73199,4.6,63.2,39.8,10.4
"Wayne","KY",59407,6.1,50.5,55.1,7.8
"Webster","KY",61141,5.3,62.5,44,5.9
"Whitley","KY",57293,6.6,50.4,54.1,7.6
"Wolfe","KY",33514,27,34.6,82.3,1.2
"Woodford","KY",87170,2.6,75.7,36.3,4
"Acadia Parish","LA",63690,9.8,55.8,47.4,7.5
"Allen Parish","LA",62809,9.2,55.1,49.9,7.2
"Ascension Parish","LA",101698,4.8,72.7,31.2,5.8
"Assumption Parish","LA",66379,8.2,57.1,45.1,9.1
"Avoyelles Parish","LA",56204,8.1,47.7,57.6,7.8
"Beauregard Parish","LA",75621,8.5,60.7,46.1,6.8
"Bienville Parish","LA",49046,5.3,43,59.1,10.6
"Bossier Parish","LA",78327,5.9,67.3,37.5,9.2
"Caddo Parish","LA",69702,8.6,54.6,50.8,7.5
"Calcasieu Parish","LA",81883,5.4,61.5,42.2,7.7
"Caldwell Parish","LA",71589,11.5,44,60.1,7.3
"Cameron Parish","LA",85982,0.7,65.8,39.5,9.6
"Catahoula Parish","LA",59266,9.7,53.1,50,10
"Claiborne Parish","LA",46845,5.2,49.9,57.6,8.5
"Concordia Parish","LA",59080,12.3,42.7,61.8,9.3
"De Soto Parish","LA",65443,8.9,53.4,54,7.6
"East Baton Rouge Parish","LA",88696,7.2,64.2,38.1,8.5
"East Carroll Parish","LA",60718,7.8,36.5,74.4,4.9
"East Feliciana Parish","LA",82906,6.2,61.4,43.6,8.2
"Evangeline Parish","LA",51805,13.6,44.7,57.4,10.2
"Franklin Parish","LA",56381,8.8,47.5,58.3,7.4
"Grant Parish","LA",67779,4.3,53.5,48.3,10.6
"Iberia Parish","LA",67584,7.8,52.8,51,8.6
"Iberville Parish","LA",70509,8.5,58.5,43.4,8.4
"Jackson Parish","LA",57862,4.5,51.8,54.9,7
"Jefferson Davis Parish","LA",69070,5.6,60.4,44.6,7.9
"Jefferson Parish","LA",81436,6,56.6,44.2,10.5
"LaSalle Parish","LA",73793,6.3,62.6,45.2,5.4
"Lafayette Parish","LA",87196,5.2,67,35,8
"Lafourche Parish","LA",78030,6.1,63,43.6,6.7
"Lincoln Parish","LA",61954,3.8,62.4,40.5,7.3
"Livingston Parish","LA",84712,4.4,65.6,35.3,8.6
"Madison Parish","LA",51699,10.6,38.9,64.9,8.4
"Morehouse Parish","LA",49475,9.2,47,55.7,8.2
"Natchitoches Parish","LA",57012,13.3,52.5,52.6,7.9
"Orleans Parish","LA",76715,8.4,54.1,45.3,8.8
"Ouachita Parish","LA",68925,5.9,56.7,47.4,8.1
"Plaquemines Parish","LA",87409,5,66.1,41.2,5.4
"Pointe Coupee Parish","LA",71244,5.6,58.1,51,9.1
"Rapides Parish","LA",70834,6.3,56.5,48.5,9.1
"Red River Parish","LA",56600,3.8,45.4,54.3,11
"Richland Parish","LA",56698,6.2,41.7,59.9,9.6
"Sabine Parish","LA",57324,9.6,50.9,54,9.6
"St. Bernard Parish","LA",69140,8.5,50.2,49.8,8.8
"St. Charles Parish","LA",96227,6.6,68.7,34.7,6.6
"St. Helena Parish","LA",55013,26.2,46.7,52.9,10.5
"St. James Parish","LA",76433,5.2,64.2,41.2,7.6
"St. John the Baptist Parish","LA",79062,10.6,57.1,46.1,7
"St. Landry Parish","LA",58461,6.5,54.1,47.7,8.9
"St. Martin Parish","LA",65294,6.6,54.4,48.1,8.8
"St. Mary Parish","LA",58902,7.4,48.4,57.5,5.7
"St. Tammany Parish","LA",96341,5.2,67.9,36.8,7
"Tangipahoa Parish","LA",71523,5.8,55.6,47.1,8.5
"Tensas Parish","LA",46205,16.7,32.4,67.6,11.3
"Terrebonne Parish","LA",76880,6.7,61,42.9,7.2
"Union Parish","LA",67700,6.8,52.3,51.6,9.2
"Vermilion Parish","LA",71211,6.5,59.9,43.3,7.9
"Vernon Parish","LA",68109,6.7,64,43.3,8.1
"Washington Parish","LA",55825,10.3,46.2,57.9,9.1
"Webster Parish","LA",46887,4.7,50.1,56.9,7.6
"West Baton Rouge Parish","LA",82317,7.7,66.2,36.9,6.7
"West Carroll Parish","LA",57106,5.1,49,58.3,7.5
"West Feliciana Parish","LA",90085,9.5,61,41.2,6.6
"Winn Parish","LA",65458,5.1,53.6,48.7,9.3
"Barnstable","MA",112642,4.5,74.2,47.4,3.3
"Berkshire","MA",89580,5.3,71.3,46,2.4
"Bristol","MA",96851,5.7,69.2,42.4,3.1
"Dukes","MA",128534,7.2,68.5,46.7,6.2
"Essex","MA",119443,5.5,71.6,39.2,3
"Franklin","MA",84134,5.5,71,45.6,2.3
"Hampden","MA",83853,6.6,62.1,48.9,3.1
"Hampshire","MA",101706,5.5,81.3,32.1,2.4
"Middlesex","MA",150097,4.5,80.5,28.8,2.7
"Nantucket","MA",153166,8,77.6,35.1,6.1
"Norfolk","MA",155586,5.1,82.6,28.5,2
"Plymouth","MA",129447,5.1,76.8,35.9,2.5
"Suffolk","MA",116843,6.9,66.6,37.9,3.6
"Worcester","MA",106611,5.5,73.5,37.1,2.4
"Allegany","MD",65335,6.9,67.1,47.5,4.2
"Anne Arundel","MD",135094,4.4,81.9,28.3,4.5
"Baltimore","MD",109376,5.3,74.2,34.6,5.2
"Baltimore city","MD",79399,7.4,59.3,45.9,5.9
"Calvert","MD",139436,2.9,84.4,26.4,2.9
"Caroline","MD",85587,5.1,59.5,48.3,6.7
"Carroll","MD",123762,3.2,84.4,27.3,3.1
"Cecil","MD",97915,5.4,73.2,36.6,4.1
"Charles","MD",124385,4.9,81.8,28.3,4.5
"Dorchester","MD",75871,5.9,59.1,53.8,5.3
"Frederick","MD",126132,4.2,81,27.7,4.6
"Garrett","MD",83627,4.1,64.5,46.2,5.5
"Harford","MD",118276,4.1,81.4,29.9,3.5
"Howard","MD",160611,3.8,83.8,24.7,3.9
"Kent","MD",88935,4,71,45.2,4
"Montgomery","MD",161149,4.9,76.9,28.3,6.7
"Prince George's","MD",110651,6.8,68.6,33.3,10.3
"Queen Anne's","MD",126888,3.9,77.3,34.4,4.5
"Somerset","MD",60227,9.6,58,51.6,5
"St. Mary's","MD",120986,4.5,79.4,29.2,4.3
"Talbot","MD",116514,3.6,72.3,46.3,4.3
"Washington","MD",87252,5.2,68.7,41.9,4.9
"Wicomico","MD",81907,8,62.5,43.8,6.7
"Worcester","MD",99385,6.8,68.4,48,6.3
"Androscoggin","ME",75977,4.7,67.7,38,7.7
"Aroostook","ME",63636,6.2,59.3,48.3,8.6
"Cumberland","ME",106756,3.5,77.7,29.8,5.5
"Franklin","ME",73525,5.1,62.7,44.2,10.2
"Hancock","ME",79940,4.1,69.2,38.5,9.9
"Kennebec","ME",75512,4.2,69.9,38.8,7.6
"Knox","ME",83899,3.7,67.7,43.4,7.6
"Lincoln","ME",84074,3.8,67.2,45.2,9.6
"Oxford","ME",67404,5.7,62.2,45.9,8.4
"Penobscot","ME",73067,4.5,68.4,38.8,8.1
"Piscataquis","ME",62705,5.5,58.8,49.2,11.9
"Sagadahoc","ME",84598,4.3,73.8,35.9,6.9
"Somerset","ME",63379,4.8,58.9,47.8,8.6
"Waldo","ME",75596,5.1,65.4,42,11.4
"Washington","ME",61443,7.4,55.8,52.3,11.1
"York","ME",93205,3.5,77.6,33.6,5.3
"Alcona","MI",59757,7.1,65.7,60.8,4.9
"Alger","MI",58098,7.1,63.8,54.5,5
"Allegan","MI",85298,3.5,75.8,32.4,4.9
"Alpena","MI",61753,7.1,60.3,53.5,5.3
"Antrim","MI",77551,4.7,68.2,48.6,6.2
"Arenac","MI",60836,7.7,64.4,53.2,6.3
"Baraga","MI",62696,4.1,64.2,52.3,5.3
"Barry","MI",90072,5.9,77.4,33.9,4.7
"Bay","MI",68790,5.5,70.4,42.8,5.9
"Benzie","MI",83073,5.2,71.4,43.5,6.3
"Berrien","MI",79011,6.4,67.2,43,6.4
"Branch","MI",70987,5.4,64.9,41.3,10.9
"Calhoun","MI",71207,7,68.1,41.6,5.5
"Cass","MI",85760,5.6,69.5,41.9,5.7
"Charlevoix","MI",86166,4.1,70.6,41.8,6.9
"Cheboygan","MI",66283,7.4,62.7,53.3,6.5
"Chippewa","MI",71531,10,67.7,46.5,6.4
"Clare","MI",57787,10.1,52.2,57.1,11.7
"Clinton","MI",96520,3.6,82.6,30.8,3.7
"Crawford","MI",62778,7.2,65.8,53.5,5.2
"Delta","MI",67051,5,66.4,50.6,5.5
"Dickinson","MI",71980,4.9,73.1,43,5
"Eaton","MI",87599,4.7,78.5,35.8,4.4
"Emmet","MI",90615,4.3,71.6,39.6,6.8
"Genesee","MI",74024,8.7,63.4,48.3,5.4
"Gladwin","MI",65061,7.4,63.8,51.9,7.9
"Gogebic","MI",61063,5.2,61.6,52.4,6.8
"Grand Traverse","MI",87388,4.3,75.1,36.7,5.7
"Gratiot","MI",70900,5.4,71.1,41.8,5
"Hillsdale","MI",68679,4,66.6,42.3,7.2
"Houghton","MI",68333,5.7,70.4,36.8,7.6
"Huron","MI",67095,5.2,68.7,47.2,6.1
"Ingham","MI",80191,6.7,74,34.3,4.8
"Ionia","MI",74176,5,74,35.5,6.2
"Iosco","MI",55392,7.8,62.4,56.4,6.8
"Iron","MI",60228,4.6,61.6,53.9,7.1
"Isabella","MI",66206,7.2,71.8,33.6,8.1
"Jackson","MI",77575,6,68.5,43,5.6
"Kalamazoo","MI",85156,6.7,75.2,33.8,5.2
"Kalkaska","MI",65591,6.2,62.6,48.2,8.7
"Kent","MI",92232,4.7,74.7,31.5,5.2
"Keweenaw","MI",74942,5,68.8,53.3,8
"Lake","MI",53062,7.5,48.7,65,6.7
"Lapeer","MI",85899,5.6,73.7,37,7.3
"Leelanau","MI",100270,4,77.6,42.7,5.2
"Lenawee","MI",74835,5.4,73.4,39.7,5.7
"Livingston","MI",110145,4.2,83.6,28.8,3.4
"Luce","MI",62748,8.1,68.9,52.1,3.8
"Mackinac","MI",67329,10.2,64.1,50.5,10.7
"Macomb","MI",86022,6,73.8,36.7,5.3
"Manistee","MI",72749,6.5,70.1,48.5,5.1
"Marquette","MI",71588,5.9,75.7,39.5,4.3
"Mason","MI",73046,4.4,67.6,47.9,6
"Mecosta","MI",62445,5.5,67.2,43.2,6.9
"Menominee","MI",65473,5.7,70,44.7,4.8
"Midland","MI",92102,5,75.7,38.3,3.7
"Missaukee","MI",65423,7.7,63.1,45.4,9.1
"Monroe","MI",85198,5.3,76.9,35.4,3.8
"Montcalm","MI",67000,4.6,65.2,44.5,7.4
"Montmorency","MI",54815,6.4,62.2,58.5,7.2
"Muskegon","MI",73683,7.3,66.8,43.4,4.9
"Newaygo","MI",68547,4.9,63.6,45.5,7.1
"Oakland","MI",117694,4.8,81.1,28.8,4.1
"Oceana","MI",68169,5.5,60.1,48.1,9.7
"Ogemaw","MI",57531,8.8,60.5,58.9,5.1
"Ontonagon","MI",55218,6.6,66.9,58.2,5.3
"Osceola","MI",61987,7.9,61.9,45.8,10.7
"Oscoda","MI",60050,9.9,53.9,55.4,15.5
"Otsego","MI",73331,4.8,70.3,42.2,7.5
"Ottawa","MI",97479,3.9,82,27,3.5
"Presque Isle","MI",68358,6.7,66.1,54.9,6.6
"Roscommon","MI",63969,6.1,60.3,60.1,6
"Saginaw","MI",72910,6.7,67.3,46.4,4.3
"Sanilac","MI",67498,6.7,64.9,46.2,8.1
"Schoolcraft","MI",65948,8.6,64.2,53.6,7.2
"Shiawassee","MI",73765,4.3,72.9,40.2,4.7
"St. Clair","MI",81129,6.9,71.3,41.6,5.1
"St. Joseph","MI",70308,5,64.7,42.2,9.1
"Tuscola","MI",67699,6.6,69.6,45.5,5.1
"Van Buren","MI",74995,5.2,65.1,42.8,8
"Washtenaw","MI",110102,4.7,82.5,27.2,3.4
"Wayne","MI",74894,9.2,60,47.6,6
"Wexford","MI",69834,6.7,63.3,47.8,6.6
"Aitkin","MN",65646,5.6,62.5,57.3,5.5
"Anoka","MN",106117,3.8,78.3,30,4.3
"Becker","MN",88527,3.6,66.9,44.2,6.5
"Beltrami","MN",73531,5.5,60.9,44.3,8.7
"Benton","MN",80336,3.9,74.3,36.2,3.7
"Big Stone","MN",74579,2.4,68.4,45.5,5.9
"Blue Earth","MN",80958,3.4,78.8,30.7,3.7
"Brown","MN",77126,2.8,79.4,34,4.1
"Carlton","MN",83430,5,73.1,39.2,4.5
"Carver","MN",136635,3,86.5,21.7,2.8
"Cass","MN",73906,6.7,60.5,53.6,7.6
"Chippewa","MN",72580,5.4,70.3,40.6,8
"Chisago","MN",102093,3.4,79.9,30.5,3.6
"Clay","MN",83853,4,77.2,31.2,4.3
"Clearwater","MN",73835,8,60.7,43.6,11.1
"Cook","MN",85539,1.8,65.6,46.2,5.7
"Cottonwood","MN",72446,4.2,75.3,38.1,4.3
"Crow Wing","MN",78483,4.7,67.6,46.7,5.9
"Dakota","MN",115606,4,81.6,27.6,3.6
"Dodge","MN",101365,2.7,79.3,29.1,4.3
"Douglas","MN",87784,3.2,80.1,37.3,3.2
"Faribault","MN",71645,4.4,70.2,42.7,5.3
"Fillmore","MN",80181,3.4,70.5,37.6,8.5
"Freeborn","MN",75966,4.1,69.3,45,5.4
"Goodhue","MN",87029,3.7,74.8,34.9,5.8
"Grant","MN",79590,4.2,67,48.2,5.3
"Hennepin","MN",120250,4.3,76.4,30.2,4.8
"Houston","MN",81655,1.6,77,35.1,4.7
"Hubbard","MN",78504,4.4,67.1,48.1,5.9
"Isanti","MN",92417,4.5,75.3,35.8,4.9
"Itasca","MN",75419,6.6,68.1,47.8,4.9
"Jackson","MN",80326,3.1,76.6,39.3,3.8
"Kanabec","MN",75206,4.5,66.9,45.4,6
"Kandiyohi","MN",82096,3.4,69.2,40.1,6.3
"Kittson","MN",73673,3.4,73.8,40.1,6.2
"Koochiching","MN",69961,5.3,67,49.1,6.1
"Lac qui Parle","MN",79038,2.4,72.6,45.9,2.5
"Lake","MN",78501,3.4,74.1,42.6,4.9
"Lake of the Woods","MN",70665,5.2,68.7,47,6.2
"Le Sueur","MN",93931,3.7,77.9,33,5.4
"Lincoln","MN",75945,2.1,71.9,40.7,5.2
"Lyon","MN",82649,3.4,71.6,36.9,6.1
"Mahnomen","MN",62436,9,41.1,57.4,14.2
"Marshall","MN",76863,2.9,74.9,38.1,4
"Martin","MN",75454,5.4,67.3,45.3,6.2
"McLeod","MN",87342,3.3,75.7,36,5.2
"Meeker","MN",83182,2.4,74.9,38.4,4.2
"Mille Lacs","MN",76131,5.8,66.2,44.5,5.9
"Morrison","MN",78220,4.5,70.6,42.7,4.7
"Mower","MN",79560,3,70.8,40.8,5.2
"Murray","MN",81351,2.8,73,42.2,4.5
"Nicollet","MN",101199,1.9,80.6,31.4,3.4
"Nobles","MN",73640,2.8,62.7,39.9,11.1
"Norman","MN",75378,5.7,69,41.8,6.5
"Olmsted","MN",113018,3.2,81,29.4,3.6
"Otter Tail","MN",80741,4.4,73.5,41.9,5.2
"Pennington","MN",78610,3,81.1,33.9,2.8
"Pine","MN",71992,6.2,68.6,43.3,6.4
"Pipestone","MN",75318,3.1,66.3,44.3,7.3
"Polk","MN",75867,4.4,70.2,39.7,5.3
"Pope","MN",82675,1.2,78.2,37.8,3
"Ramsey","MN",97989,4.8,68.7,38.2,5
"Red Lake","MN",74900,2,77.9,37.1,2.9
"Redwood","MN",72781,2.1,70.7,40.3,6.8
"Renville","MN",76796,3.4,70.4,42,4.9
"Rice","MN",90897,5.2,71.3,35.3,5.6
"Rock","MN",84415,2.2,76.5,36.1,3.9
"Roseau","MN",79342,4.4,79.2,31.6,5
"Scott","MN",134450,3.2,82.4,24.9,3.4
"Sherburne","MN",106428,2.7,84.6,24.2,3.1
"Sibley","MN",83392,3.4,76.5,34.3,5.5
"St. Louis","MN",79860,4.9,75.1,39.3,3.7
"Stearns","MN",86348,4.8,76.7,33.9,3.9
"Steele","MN",90327,3.8,73.6,36.9,3.8
"Stevens","MN",95156,1.9,77.6,32.3,4
"Swift","MN",72853,3.4,69.2,44.3,5.5
"Todd","MN",69978,3.8,63.9,43.3,10.4
"Traverse","MN",73175,4.2,71.6,45.6,2.5
"Wabasha","MN",88604,3.8,78.3,35.6,4.8
"Wadena","MN",64517,7.1,62,51.2,5.6
"Waseca","MN",82538,3.8,72.4,39.8,4
"Washington","MN",133332,3.3,84.1,25.5,3.4
"Watonwan","MN",76776,5.9,66.9,41.7,9.8
"Wilkin","MN",80619,4,73.9,38.9,2.9
"Winona","MN",78799,2.7,78.3,30.3,5.6
"Wright","MN",108146,2.4,83.3,24,4.5
"Yellow Medicine","MN",78283,3.4,71.6,42.7,3.5
"Adair","MO",71907,5.2,76.2,26.5,8.4
"Andrew","MO",78091,4.7,77.8,30.1,5.9
"Atchison","MO",67851,3,67.9,38,11
"Audrain","MO",64367,4.7,64,38.5,12.8
"Barry","MO",72678,3.1,57,43.1,12.7
"Barton","MO",64279,6.6,57.8,42,12.7
"Bates","MO",71576,5.9,63,39.3,9.9
"Benton","MO",63073,7.3,58.2,51.2,11.5
"Bollinger","MO",61931,4.6,62.7,42.4,9.3
"Boone","MO",84311,3.8,79.6,23.8,7.3
"Buchanan","MO",71164,4.9,66.3,34.4,12.3
"Butler","MO",57923,6.6,54.9,46.4,13.6
"Caldwell","MO",65191,3.7,66.6,37.9,11.6
"Callaway","MO",76580,5.3,73.4,31.5,10.2
"Camden","MO",78482,5.1,64.6,42.3,12.5
"Cape Girardeau","MO",73788,3.8,75.7,29.5,7.3
"Carroll","MO",68280,4.9,67.6,39.8,8.2
"Carter","MO",61787,1.8,54.5,47.8,18.3
"Cass","MO",92698,4.7,76.8,28.3,8.1
"Cedar","MO",69502,3.8,46.6,51.4,16.1
"Chariton","MO",65789,4.7,69.1,39.1,8.6
"Christian","MO",87008,3.1,72.3,30.8,8.7
"Clark","MO",63028,1.7,57.4,40.6,14.2
"Clay","MO",94198,4.2,78.5,25.2,7.7
"Clinton","MO",74005,4.2,73,31.3,8.8
"Cole","MO",82611,3.2,77.5,29.6,7.1
"Cooper","MO",68265,5.2,71.9,32.7,10.5
"Crawford","MO",62972,7.7,54.4,41.2,14.5
"Dade","MO",63801,8.4,56.2,43.8,11.3
"Dallas","MO",63683,5,50.6,44.4,17.9
"Daviess","MO",69758,2.1,62.1,38.3,14.4
"DeKalb","MO",68375,2,74.6,34.1,8
"Dent","MO",59468,4.6,57.1,43.3,14.8
"Douglas","MO",62540,7.4,51.3,49.1,13.9
"Dunklin","MO",61508,7,47.3,47,17
"Franklin","MO",81676,4.5,72.8,30.7,7.7
"Gasconade","MO",70887,2.5,67.2,36.4,7.5
"Gentry","MO",67040,3.8,64,40.1,12.8
"Greene","MO",70507,4,68.4,31,11.6
"Grundy","MO",65580,4.1,60,38.8,17.4
"Harrison","MO",56337,2.7,65.8,45.8,8
"Henry","MO",68733,5.7,60,43.3,10.6
"Hickory","MO",42966,7.9,53.7,52,16.3
"Holt","MO",68165,3.4,68.4,41.1,9.5
"Howard","MO",74393,4.4,71.3,34.5,9.8
"Howell","MO",54831,5.2,53.6,44,15.2
"Iron","MO",57119,3.3,57.1,45.8,11.5
"Jackson","MO",80667,5,68.7,30.1,11.6
"Jasper","MO",66310,4.1,60.9,36.1,13.5
"Jefferson","MO",84366,4.2,73.3,27.8,8.2
"Johnson","MO",73330,4.6,75.5,27.1,9.2
"Knox","MO",63209,2.9,54.2,33.9,24.2
"Laclede","MO",60612,5.9,62.8,39.3,11.8
"Lafayette","MO",83628,2.6,71,37.5,7.1
"Lawrence","MO",61487,7.1,60.5,39.8,13.6
"Lewis","MO",60667,7,63.6,38.3,9.1
"Lincoln","MO",84111,3.3,74.1,26.9,8.1
"Linn","MO",70529,3,70.6,35.8,9.6
"Livingston","MO",69912,3.3,68.7,36.4,10.5
"Macon","MO",59604,3.7,66.9,40.6,10.9
"Madison","MO",70392,5,55.8,41.9,14.8
"Maries","MO",67949,5.3,66.9,38.9,10.8
"Marion","MO",67657,3.8,67.6,37,8.2
"McDonald","MO",57006,6.2,46.7,41.1,20.8
"Mercer","MO",60898,4.2,64.4,37.8,13.7
"Miller","MO",64610,5.7,65.2,36.9,12
"Mississippi","MO",51509,6.3,48.1,50.9,12.3
"Moniteau","MO",68282,4.2,66.8,30.6,15.4
"Monroe","MO",59555,1.7,63.8,40.3,10.2
"Montgomery","MO",65759,3,69.1,35.2,10.3
"Morgan","MO",64512,4.6,48.5,42.6,23.7
"New Madrid","MO",58894,4.5,53.8,45.4,14.2
"Newton","MO",79234,4.7,62.3,36.1,13.7
"Nodaway","MO",61823,2.4,75.9,25.9,8.7
"Oregon","MO",46585,5.5,48.5,50.7,17.8
"Osage","MO",91881,1.4,82,26.9,4.9
"Ozark","MO",52529,6.8,52.9,50,14.3
"Pemiscot","MO",56646,11.2,45.7,53.3,12.9
"Perry","MO",70949,4.7,74.4,33,6.7
"Pettis","MO",70651,4.3,61.9,37.9,14
"Phelps","MO",65644,5,70.2,34.9,8.6
"Pike","MO",63780,3.8,65.1,38.6,7.8
"Platte","MO",109041,3.8,83.3,23.6,5.7
"Polk","MO",64218,3.4,62.9,36.6,12.7
"Pulaski","MO",71647,5.4,70,34.9,11
"Putnam","MO",65784,5.4,62.4,41.8,12.4
"Ralls","MO",68815,5.1,68.6,35.5,8.7
"Randolph","MO",63656,4.8,65.5,38.7,10.4
"Ray","MO",83248,2.5,74.7,30.8,10.5
"Reynolds","MO",54048,12.6,50.5,47.8,13.3
"Ripley","MO",48319,5.1,51.4,48.4,15.1
"Saline","MO",65294,2.4,73.5,35,6.1
"Schuyler","MO",58248,1.5,59,34.7,15.5
"Scotland","MO",68126,1.1,47.1,29.2,34.7
"Scott","MO",66982,4.1,60.4,41,11.9
"Shannon","MO",48424,3.6,53.5,42.2,17.5
"Shelby","MO",61908,1.2,62.6,38.6,11.6
"St. Charles","MO",112339,3.2,84.5,21.9,4.3
"St. Clair","MO",53530,3.2,56.1,46,15.3
"St. Francois","MO",65237,5,65.4,39.1,10.9
"St. Louis","MO",108335,4.4,76.3,28.9,6
"St. Louis city","MO",68681,6,62.6,35.2,10.5
"Ste. Genevieve","MO",82716,4.1,76.8,33.5,4.9
"Stoddard","MO",59844,5.4,53.9,45.7,13.9
"Stone","MO",71640,9,65.6,45.8,9.6
"Sullivan","MO",63576,3,63.4,39.6,11.2
"Taney","MO",65185,5.2,59.3,39.9,15.7
"Texas","MO",54000,6.4,53.3,43.6,18.6
"Vernon","MO",62810,4.3,56.1,39.4,16.2
"Warren","MO",86974,4.9,73.3,33,7.3
"Washington","MO",68538,5.8,56,43.9,12.7
"Wayne","MO",55116,9.9,48.4,51.9,14.1
