"county","state","mean_household_income","unemployment","private_insurance","public_insurance","no_insurance"
"Jefferson","CO",118488,4,76.7,29.1,5.3
"Kiowa","CO",62159,0.6,66,41.7,5.8
"Kit Carson","CO",77380,3.1,62.7,42.4,9.7
"La Plata","CO",96756,3.3,69,33.8,10
"Lake","CO",80417,2.7,64.7,26.8,16
"Larimer","CO",104442,4.6,76.6,28.9,6
"Las Animas","CO",60054,7.3,50.7,56.5,10.2
"Lincoln","CO",64594,2.6,67.4,39.6,8.1
"Logan","CO",67648,3.4,62,42.1,8.1
"Mesa","CO",79913,5.6,61.8,42.8,9.5
"Mineral","CO",70649,4.5,61.9,36.7,15.9
"Moffat","CO",70975,4.5,59.6,41.2,11.8
"Montezuma","CO",70721,5.1,55.3,48.8,12.2
"Montrose","CO",75253,5.3,50.3,50.9,13.3
"Morgan","CO",72331,4.3,61.7,38.8,11.2
"Otero","CO",56626,6.3,50.1,54.4,8.3
"Ouray","CO",90508,3.6,57.8,40.7,14
"Park","CO",92293,4.4,70.8,35,8.3
"Phillips","CO",80711,1.1,62.7,40,11
"Pitkin","CO",172473,2.7,74.6,25.7,6.3
"Prowers","CO",64101,3.9,51.5,49.5,11.2
"Pueblo","CO",69847,6.7,56.3,51.5,6.6
"Rio Blanco","CO",72395,7,64.4,35.2,11.8
"Rio Grande","CO",69358,7.2,48.2,48.5,14.4
"Routt","CO",116450,2.5,73.6,28.6,7.7
"Saguache","CO",68087,10.6,45.7,55.8,10.1
"San Juan","CO",78777,6.9,55.6,33.2,14.5
"San Miguel","CO",111998,3.6,72,25.9,9.8
"Sedgwick","CO",65502,4.3,56.7,47.3,8.6
"Summit","CO",120713,3.2,70.3,24.8,13
"Teller","CO",88416,4.4,63.6,43.2,8.6
"Washington","CO",69959,3.1,60.8,50.7,4.2
"Weld","CO",99568,4.9,68.7,32.3,8.8
"Yuma","CO",74972,6,60.9,38,12.3
"Fairfield","CT",164837,6.4,70.4,32.1,7.7
"Hartford","CT",107929,5.8,70.2,37.7,4.1
"Litchfield","CT",114192,6,73,38,3.6
"Middlesex","CT",115363,4.7,77.2,33,3.2
"New Haven","CT",102367,6.7,66.9,39.6,5.1
"New London","CT",102903,5.1,72.6,37.6,4.2
"Tolland","CT",112456,4.7,80.1,28.7,3.1
"Windham","CT",88225,6.9,68.7,40.2,4.3
"Kent","DE",79452,5.6,68,41.4,7.1
"New Castle","DE",104692,5.9,75.2,34.1,5.2
"Sussex","DE",92069,5.1,66.5,49.9,6.4
"Alachua","FL",79629,4.8,75.1,27.8,8.2
"Baker","FL",80205,5.1,66.2,34.8,11.1
"Bay","FL",78633,4.6,63.8,38.3,14
"Bradford","FL",63767,5,58.6,43.9,11.9
"Brevard","FL",86294,4.8,68.1,38.9,10.2
"Broward","FL",92573,6,62.8,30.5,14.2
"Calhoun","FL",56365,3.4,47.4,43.9,18.4
"Charlotte","FL",77062,5.4,62.7,53.9,10.4
"Citrus","FL",66516,7.7,57.8,54.9,11.3
"Clay","FL",91373,4.8,73.5,33.3,9.2
"Collier","FL",120677,4.2,66.2,42.6,12.1
"Columbia","FL",67934,8.2,56.9,43.7,14
"DeSoto","FL",51376,9.4,41.1,54.4,17.9
"Dixie","FL",58782,4.9,49.9,54.3,14.9
"Duval","FL",82928,5.1,65,33.9,11.9
"Escambia","FL",76513,6.3,65.4,38.7,11.6
"Flagler","FL",85469,3.7,62.4,44.1,12.2
"Franklin","FL",68832,9.5,54.4,44.8,18.4
"Gadsden","FL",56875,4,54.4,44.1,14.5
"Gilchrist","FL",65748,3.9,55.8,39.1,15.6
"Glades","FL",55185,9.1,44.6,53.4,20.9
"Gulf","FL",77858,4.1,63.8,47.2,8.2
"Hamilton","FL",51454,11.3,49.3,46.6,18.2
"Hardee","FL",65000,6.6,46.5,52,13.2
"Hendry","FL",57873,6.1,40.5,43.1,23.8
"Hernando","FL",68356,6.3,56.4,47.5,12.9
"Highlands","FL",63311,7.4,54.3,55.9,12.4
"Hillsborough","FL",91471,5,64.9,32.2,12.1
"Holmes","FL",54089,4.8,50.2,43,18.6
"Indian River","FL",93531,6,62.5,47.4,11.5
"Jackson","FL",58392,5.1,55.9,45.5,11.7
"Jefferson","FL",71787,6.2,61.1,46.5,8.2
"Lafayette","FL",64022,5.9,57.9,43.1,12.9
"Lake","FL",78563,6.1,64,42.2,10.6
"Lee","FL",89228,4.6,61.9,43.5,13.1
"Leon","FL",81918,6.2,76.2,26.9,8.3
"Levy","FL",57595,5.2,48.3,49.8,16.2
"Liberty","FL",55178,7.7,53.9,42,13.8
"Madison","FL",54885,3.9,56.8,44.2,12.2
"Manatee","FL",91678,5.5,63.6,41.1,12
"Marion","FL",68888,6.9,57,49.1,11.9
"Martin","FL",108358,4.6,68.3,42,10
"Miami-Dade","FL",87004,5.1,55.9,33,15.6
"Monroe","FL",114528,3.7,63.4,34,17
"Nassau","FL",99943,4.8,67.9,38,9.7
"Okaloosa","FL",91149,3.9,71.9,32.9,12
"Okeechobee","FL",64096,5,51.7,44.8,16.6
"Orange","FL",93403,5.7,65.5,28.8,13.3
"Osceola","FL",75463,6,59.9,35.1,13.2
"Palm Beach","FL",107298,6.1,63.3,36.5,13.8
"Pasco","FL",78495,5.4,61.4,40.6,11.4
"Pinellas","FL",87184,5,64.6,38.1,11
"Polk","FL",74056,4.9,58.8,40.6,13.1
"Putnam","FL",55047,9,44.1,52.4,17.1
"Santa Rosa","FL",94738,4.9,71.2,32.6,11.5
"Sarasota","FL",104533,3.6,67.6,46.2,10.7
"Seminole","FL",97788,4.5,72.9,27.3,9.6
"St. Johns","FL",123360,4.7,78.7,28.2,7.9
"St. Lucie","FL",78734,5.7,58.9,43.6,12.8
"Sumter","FL",80091,5.5,63.3,71,5.7
"Suwannee","FL",64869,5.3,56.5,47.1,13
"Taylor","FL",69271,6.2,58.5,47.8,8.3
"Union","FL",76378,3.4,62.7,40.8,10
"Volusia","FL",75190,4.2,62.8,41.7,11.6
"Wakulla","FL",83936,3.3,76.5,32.5,6.7
"Walton","FL",93665,4.6,65.9,37,13.2
"Washington","FL",55432,5.6,57,41.4,15.3
"Appling","GA",55733,2.9,52.5,44.7,13.9
"Atkinson","GA",52851,6.2,42.3,47.4,19.8
"Bacon","GA",60342,3.4,51.5,39,19.2
"Baker","GA",52967,12.1,46.4,47,16.9
"Baldwin","GA",74134,7.6,69.2,31.5,12.6
"Banks","GA",68902,3.4,64.5,34.7,12.8
"Barrow","GA",80177,4,63.5,31,15.2
"Bartow","GA",79015,5.6,65.6,29.7,14.9
"Ben Hill","GA",49605,4.2,48.4,42.9,19.2
"Berrien","GA",57388,6.2,50.6,40.4,21.7
"Bibb","GA",68814,7.7,56.7,41.8,13.3
"Bleckley","GA",64109,7.7,68.1,37.4,10.1
"Brantley","GA",48566,4.7,44.3,50.2,15.8
"Brooks","GA",64125,7.1,59.4,38.3,18.5
"Bryan","GA",103911,6.3,77.3,24,9.4
"Bulloch","GA",70460,9.1,68,28.9,12
"Burke","GA",73434,5.6,61.7,36.4,12.7
"Butts","GA",71575,4.8,61.2,39.3,10.6
"Calhoun","GA",60632,15.1,48.3,47.3,13.7
"Camden","GA",78691,4.6,68.5,35,10.4
"Candler","GA",56050,5.8,50.8,43,17.7
"Carroll","GA",77389,6.1,67.3,31.4,12.2
"Catoosa","GA",77690,3.5,69.8,32.8,11.3
"Charlton","GA",58530,11.1,54.4,40.8,17.1
"Chatham","GA",86603,7.1,65.3,32.9,13.8
"Chattahoochee","GA",65747,11.7,76.7,27.4,5.2
"Chattooga","GA",50175,3.2,50.8,50.7,12.4
"Cherokee","GA",110981,4.1,76.1,24,10.8
"Clarke","GA",66478,5.6,70.8,25.2,12.4
"Clay","GA",45658,4.8,57.2,45.3,13.8
"Clayton","GA",65231,7,53.5,35.8,18.3
"Clinch","GA",50640,5.1,57,41.9,21.6
"Cobb","GA",116012,4.9,74,22.7,12.6
"Coffee","GA",57509,4.2,53.5,39.4,17.4
"Colquitt","GA",61978,6.9,47.6,38.9,21.9
"Columbia","GA",107156,5.2,78.4,26.3,8.5
"Cook","GA",61239,5.3,54.5,35.5,18.8
"Coweta","GA",103289,3.4,75,25.6,9.7
"Crawford","GA",69371,9.8,56.8,40.5,12.4
"Crisp","GA",64655,9.7,46,46.9,17.5
"Dade","GA",68467,4.7,68.1,35,12.4
"Dawson","GA",100660,5.8,67,32.7,14.4
"DeKalb","GA",101277,6.7,65.2,30,13.4
"Decatur","GA",63061,5.7,48.3,44.2,16.1
"Dodge","GA",58425,4.2,61.6,40.3,12.9
"Dooly","GA",69303,10,53.9,41.6,18.2
"Dougherty","GA",58010,9.9,51.4,45.9,14.9
"Douglas","GA",84753,6.7,67.3,30.6,12.2
"Early","GA",56437,8.2,50.2,44.4,15.7
"Echols","GA",54418,3.9,58.1,30.3,25.9
"Effingham","GA",92687,5.2,74.8,25.9,10
"Elbert","GA",55130,7.6,53.4,46.3,13
"Emanuel","GA",58138,9.4,49.9,45.8,16.6
"Evans","GA",60171,8.2,46.7,45,18.2
"Fannin","GA",73910,5.1,60,45.4,13.7
"Fayette","GA",127054,4.1,79.8,28.1,7.7
"Floyd","GA",73273,4.6,60.6,36.7,15.1
"Forsyth","GA",145708,3.7,82.2,17.2,8.7
"Franklin","GA",64900,5.5,57,37.7,16.8
"Fulton","GA",123745,5.5,72.8,25.6,10
"Gilmer","GA",74654,3.4,55.7,44.2,17.4
"Glascock","GA",66697,1.5,53.2,46,10.1
"Glynn","GA",87482,4.3,60.5,39.5,13.7
"Gordon","GA",69728,3,60.5,32.4,17.3
"Grady","GA",66067,2.7,50.3,41.2,20.4
"Greene","GA",104063,5.5,54.9,45.8,18.5
"Gwinnett","GA",99730,4.1,66.4,25,15.9
"Habersham","GA",72942,2.4,62.6,35.1,14.9
"Hall","GA",94411,3.6,63.2,30.8,17.3
"Hancock","GA",53393,2.2,50.3,51.6,13.1
"Haralson","GA",74759,4.9,67,33.9,11.7
"Harris","GA",106588,6.4,78.7,30.8,6
"Hart","GA",65497,5.6,60.9,41.4,13.5
"Heard","GA",68871,7.1,50,45.8,14.2
"Henry","GA",90921,6.3,73.7,26.2,10.5
"Houston","GA",85326,5.4,73.5,31.1,10.5
"Irwin","GA",55100,7.7,55.4,38.6,17.4
"Jackson","GA",92660,4.5,68.1,31.5,11.9
"Jasper","GA",72452,5.6,57,40.5,13.3
"Jeff Davis","GA",55550,5.1,50.6,38.2,20.1
"Jefferson","GA",59827,5.8,48.5,47,15.2
"Jenkins","GA",42824,4.1,47,44.3,19
"Johnson","GA",56375,11.6,52.1,47.6,13.6
"Jones","GA",74120,5.1,69.7,37.4,8.4
"Lamar","GA",70473,8.4,68,35.4,11.4
"Lanier","GA",49843,3,59.6,37.6,17.3
"Laurens","GA",63709,5.1,57.9,40.9,13.3
"Lee","GA",86543,4.9,76.3,28.5,8.2
"Liberty","GA",62652,9.5,67.3,35.4,11.6
"Lincoln","GA",59855,4.5,56.3,47,14.6
"Long","GA",63839,7.6,61.7,35.2,13.6
"Lowndes","GA",65028,5.6,66.8,32.6,16.2
"Lumpkin","GA",86993,4.3,76.7,26.3,10.2
"Macon","GA",56218,9.3,44.2,45.8,20.6
"Madison","GA",69421,6.2,57.3,38.9,16.4
"Marion","GA",59677,5.7,53.9,41.6,16.4
"McDuffie","GA",61625,5.4,53.5,44.9,13.8
"McIntosh","GA",62318,4.2,58.5,44,14.6
"Meriwether","GA",56430,5.6,54.2,42,14.4
"Miller","GA",63809,6.4,52.6,42.1,17.4
"Mitchell","GA",57255,8.8,44.5,46.6,21.6
"Monroe","GA",97916,4.1,69.8,33.6,11.3
"Montgomery","GA",74607,9.4,61.4,38.6,14.6
"Morgan","GA",94064,3.1,70.9,31.9,10.9
"Murray","GA",67306,6.8,58.7,37.3,13.8
"Muscogee","GA",70012,8,64.3,38.6,12
"Newton","GA",76912,5.8,62.3,34.9,13.4
"Oconee","GA",143139,3,81.3,23.5,7.1
"Oglethorpe","GA",72349,4.2,59.9,40.4,12.2
"Paulding","GA",93760,4.2,73.7,25.4,10.9
"Peach","GA",71930,8.7,61.6,38.2,12.3
"Pickens","GA",89564,4.6,65.2,39.8,11.8
"Pierce","GA",65392,2.8,54.8,41.3,15.1
