"county","state","total_population","males","females","old_85","children","old_65","white_pct","black_pct"
"DeKalb","IL",100922,49.6,50.4,1.5,21.7,12.6,81.1,7.9
"Douglas","IL",19708,49.6,50.4,2.8,25,18.1,93.4,0.9
"DuPage","IL",934094,49.4,50.6,1.9,22.8,15.7,72.6,4.9
"Edgar","IL",16998,49.6,50.4,2.7,19.9,22.3,96.8,0.5
"Edwards","IL",6233,49.4,50.6,3.2,22.7,21.1,96.3,0.2
"Effingham","IL",34576,50,50,2.9,24.1,17.5,96.5,0.6
"Fayette","IL",21514,53,47,2.4,21.2,19.2,93.4,4.4
"Ford","IL",13589,49.7,50.3,3.3,23,18.8,93,0.9
"Franklin","IL",38068,49.7,50.3,2.5,22.4,20.3,95.9,0.6
"Fulton","IL",34022,52.5,47.5,2.5,19.8,20.2,93.1,3.2
"Gallatin","IL",5038,49.4,50.6,2.5,19.9,24.3,96.4,0.2
"Greene","IL",12187,50.7,49.3,2,21.6,19.3,96.2,1.2
"Grundy","IL",52364,50.1,49.9,1.6,25.3,13.9,91.6,1.3
"Hamilton","IL",8021,48.4,51.6,2.4,21.9,21.4,96.2,0.2
"Hancock","IL",17750,50.5,49.5,3.4,20.9,23.1,96.2,0.7
"Hardin","IL",3700,52.6,47.4,3.4,13.8,29.3,96.7,1.5
"Henderson","IL",6485,49.9,50.1,4.1,18.4,25.7,96.6,0.1
"Henry","IL",49412,49.8,50.2,2.8,22.4,20.5,91.8,2.2
"Iroquois","IL",27362,49,51,2.7,22,21.2,91.7,1
"Jackson","IL",53676,49.3,50.7,2.2,18.9,15.6,74.8,14.5
"Jasper","IL",9324,50.4,49.6,2.6,23.1,19.6,97.1,0.3
"Jefferson","IL",37362,51.9,48.1,2.1,22.4,19,86,8.2
"Jersey","IL",21533,49.4,50.6,2.4,20.4,19.3,95.9,0.4
"Jo Daviess","IL",21995,50.6,49.4,3.5,19,28,96.3,0.7
"Johnson","IL",13238,54.8,45.2,3,19.2,21.1,87.9,9.1
"Kane","IL",518648,50.1,49.9,1.4,25.3,13.9,68.8,5.4
"Kankakee","IL",108104,49.6,50.4,2.2,22.9,16.7,77.2,14.6
"Kendall","IL",130757,49.7,50.3,1,28.4,10.4,76.3,8.2
"Knox","IL",50193,50.9,49.1,2.4,20,21.3,84.8,8.8
"LaSalle","IL",109986,50.7,49.3,2.6,21.6,18.8,89.5,2.7
"Lake","IL",714484,50.2,49.8,1.8,24.1,14.4,69.9,6.7
"Lawrence","IL",15465,56.8,43.2,2.1,19,17.2,86,9.7
"Lee","IL",34373,53.3,46.7,2.8,19.9,19.7,89,5.4
"Livingston","IL",35902,50.9,49.1,3.4,21.9,19.2,91.2,3.6
"Logan","IL",28238,49.3,50.7,3.3,19.4,18.1,88.3,7.2
"Macon","IL",104331,48.1,51.9,2.9,22.5,19.8,76.7,16.3
"Macoupin","IL",45152,49.5,50.5,3.2,21.2,20,96.1,1
"Madison","IL",266112,49,51,2,22,17.3,85.9,8.6
"Marion","IL",37781,49,51,2.5,23.5,19.4,92,3.8
"Marshall","IL",11781,49.9,50.1,3.3,20.7,23.2,95.3,0.7
"Mason","IL",13225,49.7,50.3,2.9,20.8,22.2,96.7,0.5
"Massac","IL",14280,48.2,51.8,3.1,22,20.3,88.8,6.1
"McDonough","IL",27743,48.2,51.8,3.1,17.3,17.7,88.4,5.2
"McHenry","IL",310749,50,50,1.7,23.5,14.8,88.7,1.5
"McLean","IL",171455,48.8,51.2,1.5,21.6,13.4,81.9,8.3
"Menard","IL",12343,48.8,51.2,2.2,22.9,19.5,96.7,0.9
"Mercer","IL",15779,50.5,49.5,2.8,21.4,21.3,95.6,0.5
"Monroe","IL",34732,49.7,50.3,2.6,22.4,17.7,96.9,0.2
"Montgomery","IL",28482,53.3,46.7,2.9,20.3,20,93.7,3.9
"Morgan","IL",33189,50.3,49.7,3.1,19.2,19.8,88.7,6.4
"Moultrie","IL",14634,49.1,50.9,2.4,25.7,18.7,96.8,1
"Ogle","IL",51787,49.8,50.2,2.9,22.6,18.7,91.3,1.2
"Peoria","IL",182439,48.8,51.2,2.4,24,17.1,71.2,17.6
"Perry","IL",21158,55.1,44.9,2.4,19.4,18.6,86.8,8.5
"Piatt","IL",16664,49.3,50.7,2.7,22.4,19.5,96.4,0.6
"Pike","IL",14923,50,50,3.7,22.8,20.8,96.3,0.9
"Pope","IL",3820,47.4,52.6,3.2,18.1,25.6,90,3.1
"Pulaski","IL",5279,48.2,51.8,1.9,21.1,22.3,65.7,30
"Putnam","IL",5638,50.8,49.2,2.3,20.5,22.8,95.4,0.2
"Randolph","IL",30632,56.5,43.5,2.9,19.4,18.7,85.7,10.7
"Richland","IL",15876,49.3,50.7,2.5,23.6,20.2,95.4,0.6
"Rock Island","IL",144694,49.6,50.4,2.4,22.5,19.3,77.1,11
"Saline","IL",23869,49.1,50.9,3.3,21.6,19.8,92.8,2.7
"Sangamon","IL",196759,48.2,51.8,2,22.3,17.9,80.6,12.7
"Schuyler","IL",6953,54.7,45.3,2.6,17.4,23.5,93.2,4.9
"Scott","IL",4923,49.6,50.4,2.5,21.9,20.2,96.2,0.2
"Shelby","IL",21160,49.3,50.7,3.3,21.7,22.6,97.6,0.3
"St. Clair","IL",258597,48.5,51.5,1.9,23.7,15.9,62.6,29.2
"Stark","IL",5436,49.5,50.5,2.8,21.3,22.5,96.2,0.9
"Stephenson","IL",44817,49,51,3.4,21.6,23.1,84.4,9.4
"Tazewell","IL",131977,49.4,50.6,2.5,22.8,18.7,95.1,1.3
"Union","IL",17259,50.5,49.5,3,21.3,21.1,93.6,1.4
"Vermilion","IL",74953,50.1,49.9,2.3,23.7,19.2,81,14.4
"Wabash","IL",11414,49.6,50.4,3.6,22.3,21,95.1,0.1
"Warren","IL",16887,49.3,50.7,2.4,21.8,18.9,87.1,3.9
"Washington","IL",13827,50.2,49.8,2.2,21.2,20.8,96.8,0.9
"Wayne","IL",16250,49.7,50.3,3.3,22.8,21.2,96.5,1.1
"White","IL",13959,49.4,50.6,3.1,22.1,21.4,96.8,0.8
"Whiteside","IL",55932,50.2,49.8,3,22.2,20.6,91.9,1.1
"Will","IL",696403,49.9,50.1,1.4,24.8,13.2,70,11.4
"Williamson","IL",67271,50.1,49.9,2.1,22,18.8,90.1,4
"Winnebago","IL",285471,49.1,50.9,2.5,23.6,17.5,74.6,13.3
"Woodford","IL",38571,50,50,2.6,24.3,17.8,96.4,0.7
"Adams","IN",35685,50.3,49.7,2.7,31.6,15.1,95.2,0.9
"Allen","IN",381839,49.2,50.8,1.8,25.8,14.6,75.9,11.3
"Bartholomew","IN",81759,50.6,49.4,1.8,24.1,16,83.3,1.9
"Benton","IN",8687,49.8,50.2,2.4,25.1,17.2,95.3,0.7
"Blackford","IN",12139,49.5,50.5,2.6,22.3,21.2,96.7,0.5
"Boone","IN",69839,49.7,50.3,1.7,26.2,13.3,90.6,2.1
"Brown","IN",15444,49.6,50.4,2.1,17.4,24.5,96.1,0.6
"Carroll","IN",20288,50.8,49.2,2.3,22.2,19.4,95.3,0.6
"Cass","IN",37918,49.8,50.2,2.7,23.1,17.7,82.6,1
"Clark","IN",120185,49.1,50.9,1.6,22.6,15.7,85.9,6.8
"Clay","IN",26397,49.4,50.6,2.3,23.4,18.2,96,0.6
"Clinton","IN",33010,49.9,50.1,2.5,26.4,16.4,88,0.7
"Crawford","IN",10511,51.3,48.7,1.5,21.9,19.7,95.6,0.5
"Daviess","IN",33281,50.1,49.9,2.2,29.7,15.3,93.6,1.7
"DeKalb","IN",43059,49.6,50.4,1.7,24.4,16.1,96.1,0.2
"Dearborn","IN",50494,49.8,50.2,1.8,22.5,17.7,96.6,0.5
"Decatur","IN",26466,50.1,49.9,1.7,23.9,16.6,95.4,0.2
"Delaware","IN",112480,48.3,51.7,2.3,18.4,16.9,87.7,6.4
"Dubois","IN",43474,50.2,49.8,2.3,24.6,17.3,91.5,1.2
"Elkhart","IN",206314,49.7,50.3,2.1,27.7,14.6,82.7,5.2
"Fayette","IN",23393,49.1,50.9,1.7,22.1,20.2,94.7,1.5
"Floyd","IN",79594,48.7,51.3,2.1,22.7,16.1,88.8,5
"Fountain","IN",16422,50.1,49.9,1.8,22.2,19.5,96.7,0.5
"Franklin","IN",22769,50.2,49.8,2.3,23.3,18.5,96.7,0
"Fulton","IN",20400,50,50,2,23.8,19.3,93.3,0.5
"Gibson","IN",33017,50.5,49.5,2,24.1,17.2,92.9,2.4
"Grant","IN",66802,48.1,51.9,2.5,21,18.8,86.7,7.1
"Greene","IN",30924,50.4,49.6,1.6,21.9,19.2,96.9,0.4
"Hamilton","IN",341616,49.2,50.8,1.5,26.7,12.5,84.8,3.9
"Hancock","IN",78616,49.5,50.5,1.2,23.5,16.2,92.1,2.7
"Harrison","IN",39516,50.1,49.9,1.7,22.3,17.6,95.8,0.6
"Hendricks","IN",172100,50.3,49.7,1.4,24.9,13.9,84.4,7.5
"Henry","IN",48857,52.7,47.3,1.8,20.8,18.6,94,2.5
"Howard","IN",83349,48.3,51.7,2.5,23,19,85.9,8.2
"Huntington","IN",36572,50,50,2.4,21.7,17.1,95.5,0.8
"Jackson","IN",45948,50.3,49.7,2.1,24.7,16.1,88.5,1.3
"Jasper","IN",33006,50.1,49.9,2,23.3,17.7,91.3,1.1
"Jay","IN",20570,50.8,49.2,2.7,25.2,17.8,95.8,0.4
"Jefferson","IN",33000,47.9,52.1,1.6,20.5,17.9,93.6,2
"Jennings","IN",27619,50.6,49.4,1,23.3,16.3,95.7,0.8
"Johnson","IN",159739,49.3,50.7,1.6,24.7,14.5,89.4,2.7
"Knox","IN",36362,51,49,2,21.7,17.6,92.3,2.5
"Kosciusko","IN",80151,50.2,49.8,1.6,24,16.6,90.8,0.7
"LaGrange","IN",40085,50.8,49.2,1,32.6,13.7,95.7,0.2
"LaPorte","IN",112184,51.9,48.1,2,21.6,17.8,80.9,10.7
"Lake","IN",495925,48.7,51.3,2.1,23.6,16.5,60,23.3
"Lawrence","IN",45133,49.2,50.8,2.1,21.8,19.8,95.7,0.3
"Madison","IN",130037,50.4,49.6,2.4,21.7,18.1,86.3,7.9
"Marion","IN",969542,48.4,51.6,1.5,24.8,12.5,58.5,28.1
"Marshall","IN",46175,50.1,49.9,2.9,25.1,17.6,93.6,0.9
"Martin","IN",9885,51.1,48.9,2.5,22.7,19.6,96.9,0.4
"Miami","IN",36100,54.1,45.9,1.7,21.2,17.2,88.6,4.4
"Monroe","IN",140189,49.8,50.2,1.6,15.8,13.1,85,3.4
"Montgomery","IN",37967,50.9,49.1,1.9,22.9,17.6,93.5,1
"Morgan","IN",71394,49.9,50.1,1.8,22.8,16.7,95.9,0.3
"Newton","IN",13865,51,49,1.7,21.5,19,92.8,1.1
"Noble","IN",47293,50.5,49.5,1.8,24.5,15.8,93.2,0.3
"Ohio","IN",5931,49.5,50.5,2.2,19.6,21.8,96.1,0.2
"Orange","IN",19752,50.2,49.8,2.8,22.8,19.6,94.5,1.7
"Owen","IN",21280,51,49,1.9,21.3,19.7,96.2,0
"Parke","IN",16316,47.8,52.2,1.7,21.8,19.2,94.5,1.1
"Perry","IN",19151,53.9,46.1,2.6,21.1,18.5,94.1,2.9
"Pike","IN",12220,50.1,49.9,2.7,21.3,20.4,96,0.7
"Porter","IN",172353,49.7,50.3,1.9,22.1,16.5,88.1,4.1
"Posey","IN",25301,50,50,1.7,22.4,18.9,95.2,1.5
"Pulaski","IN",12496,50.6,49.4,1.8,22,19.3,93.6,0.1
"Putnam","IN",36838,52.4,47.6,2,19.8,16.5,92.6,2.6
"Randolph","IN",24681,49.8,50.2,3.1,23.3,19.8,93.6,0.3
"Ripley","IN",28953,49.7,50.3,1.9,23.9,17.7,96.7,0.3
"Rush","IN",16706,50.3,49.7,2.1,23,17.9,97.1,0.6
"Scott","IN",24290,50,50,1.9,22.8,16.8,95.5,0.2
"Shelby","IN",44825,49.7,50.3,2.4,23,16.9,93.7,1.1
"Spencer","IN",19949,50.8,49.2,2.5,21.9,19.8,96,0.7
"St. Joseph","IN",272049,49,51,2.1,23.7,15.7,75.3,12.7
"Starke","IN",23275,49.9,50.1,2.2,23.6,18.6,96,0.1
"Steuben","IN",34379,51.1,48.9,2.5,20.6,20.3,95,0.3
"Sullivan","IN",20814,53.5,46.5,1.9,20.5,17.5,91.8,3.5
"Switzerland","IN",9870,51.3,48.7,2.5,24.6,17.7,95.8,0.3
"Tippecanoe","IN",185961,51.3,48.7,1.6,20.6,11.5,79.3,5.8
"Tipton","IN",15290,49.5,50.5,1.5,20.8,20.9,96.6,0.3
"Union","IN",7098,49.3,50.7,1.7,20.9,19.4,96.4,0.3
"Vanderburgh","IN",179695,48.8,51.2,2.3,21.8,16.9,83.9,9.9
"Vermillion","IN",15477,50,50,2.3,22.1,19.9,96.6,0.4
"Vigo","IN",106523,51,49,2.1,20.6,16.2,86,7.2
"Wabash","IN",31120,49.2,50.8,2.8,20.8,20.3,94.9,1.1
"Warren","IN",8430,50.1,49.9,1.7,22,20.7,97,0.3
"Warrick","IN",63575,49.2,50.8,1.9,23.9,17.4,92.1,2
"Washington","IN",28025,49.5,50.5,1.3,23.1,17.2,97,0.1
"Wayne","IN",66588,48.9,51.1,2.6,22.3,18.8,88.9,4.7
"Wells","IN",28103,49.2,50.8,3.3,24.8,17.8,94.6,0.8
"White","IN",24593,50.2,49.8,2.8,23.4,19.7,90.1,0.5
"Whitley","IN",34048,49.9,50.1,2.2,23.2,17.9,95.3,0.4
"Allen","KS",12557,49.5,50.5,3.2,22.3,20.2,92.1,2.1
"Anderson","KS",7800,49.9,50.1,2.1,25.7,20.8,95.2,0.8
"Atchison","KS",16382,48.7,51.3,2.4,23.5,17,88.5,2.6
"Barber","KS",4178,51.2,48.8,3.2,24.2,22,94.9,0.4
"Barton","KS",25708,49.2,50.8,3.2,23.9,19.7,87.3,1.3
"Bourbon","KS",14410,49,51,2.6,25.7,19.4,90.9,2.5
"Brown","KS",9532,49.8,50.2,2.6,25.9,19.9,83.7,0.9
"Butler","KS",67404,50.5,49.5,2.1,25.5,15.2,90,2.3
"Chase","KS",2583,50.1,49.9,3.5,21.1,23.8,93.4,1.2
"Chautauqua","KS",3394,52.4,47.6,1.9,22.9,24.5,86.1,1.2
"Cherokee","KS",19507,48.4,51.6,2.2,23.3,19.2,89.4,0.7
"Cheyenne","KS",2647,50.4,49.6,4.9,21.1,26.4,91.9,0
"Clark","KS",1994,51.7,48.3,4.4,24.1,24.3,89.5,0
"Clay","KS",8085,50.3,49.7,4.7,23.9,24.1,95.9,1.7
"Cloud","KS",9037,51,49,3.3,24.4,20.8,94.5,1.4
"Coffey","KS",8361,50.4,49.6,3,21.8,21.5,95.3,0.7
"Comanche","KS",1809,50,50,5.4,21,27.9,97.7,0.1
"Cowley","KS",34769,50.3,49.7,2.9,23.8,18.1,85,2.3
"Crawford","KS",39018,51.2,48.8,2.1,22.3,15.1,90.8,2.1
"Decatur","KS",2792,50.1,49.9,5.4,21.3,27.6,96.2,0.8
"Dickinson","KS",18572,50.3,49.7,2.4,23.3,19.6,92.7,1
"Doniphan","KS",7549,51,49,2.8,19.7,19.6,91.6,5.1
"Douglas","KS",118690,49.6,50.4,1.2,18.2,12.5,80.5,4.2
"Edwards","KS",2911,50.5,49.5,4.7,23.8,21.7,90.9,0.2
"Elk","KS",2466,49.4,50.6,3.6,23.3,27.9,92,0.1
"Ellis","KS",28893,49.6,50.4,3,21.5,15.4,91.3,1.5
"Ellsworth","KS",6403,56,44,2.7,18.9,20.9,88.7,3.4
"Finney","KS",38338,51.9,48.1,1.6,30.3,11,71.9,4
"Ford","KS",34426,52.1,47.9,1.4,30.3,10.9,77.1,2.1
"Franklin","KS",25953,50.4,49.6,2,24,16.5,92.2,0.5
"Geary","KS",36514,53.4,46.6,1.3,31.3,8.3,63.1,17.5
"Gove","KS",2774,51.7,48.3,3.8,25.7,24.8,94.9,0.9
"Graham","KS",2444,50.4,49.6,4.6,20.8,26.2,90.5,4.4
"Grant","KS",7430,52.1,47.9,1.2,30.6,13.2,81.1,0.1
"Gray","KS",5720,51,49,1.9,29.9,14.9,94.8,0
"Greeley","KS",1257,49.9,50.1,2.5,28.9,19.1,77.7,0
"Greenwood","KS",6049,50.9,49.1,3.7,21.7,24.7,93.9,0.4
"Hamilton","KS",2572,53.2,46.8,1.7,27,13.2,87.3,0
"Harper","KS",5525,49.2,50.8,3.4,25.4,22.4,93.1,0.1
"Harvey","KS",34006,49.2,50.8,3.3,24.4,19.4,88.6,2
"Haskell","KS",3803,49,51,0.8,28.3,13.8,77.8,0.3
"Hodgeman","KS",1851,50.2,49.8,3.2,21.8,21.8,97.5,0.1
"Jackson","KS",13287,50.6,49.4,1.5,25.3,19,85.5,0.3
"Jefferson","KS",18391,50.4,49.6,2,22.8,18.7,94.7,0.7
"Jewell","KS",2927,51.5,48.5,5,21.1,30.1,94.3,0.4
"Johnson","KS",605154,49.4,50.6,1.9,24.3,14.6,83.4,4.8
"Kearny","KS",4019,48,52,2.1,29.7,15.1,89.7,2.5
"Kingman","KS",7495,50.8,49.2,3.5,21.9,21.2,95.3,0.1
"Kiowa","KS",2457,47.8,52.2,5.3,24.6,22.1,91.7,0.8
"Labette","KS",20222,50,50,2.5,24.4,19,88.2,4.2
"Lane","KS",1504,49.6,50.4,2.9,21.7,19.3,91.9,0
"Leavenworth","KS",81601,53.3,46.7,1.4,23.8,14.4,81.3,8.1
"Lincoln","KS",2952,51.3,48.7,3.8,23.6,24.5,95.5,0.1
"Linn","KS",9667,51.1,48.9,2.8,22.8,22.1,94.1,0.9
"Logan","KS",2777,51.5,48.5,5.4,24.7,20.7,93.6,0.1
"Lyon","KS",32318,48.2,51.8,1.7,22.4,14.8,83,1.9
"Marion","KS",11877,50,50,3.2,21.3,23,94.5,1
"Marshall","KS",9995,50.2,49.8,3.2,24.5,22,95.4,0.5
"McPherson","KS",30059,49.7,50.3,4.1,22.4,19.5,94.8,1.4
"Meade","KS",4089,50.3,49.7,2.5,26.5,16.4,81.9,0.4
"Miami","KS",33968,50.5,49.5,1.7,24.4,16.7,93.4,0.9
"Mitchell","KS",5884,51.3,48.7,3.6,22.7,23.1,95.7,0.4
"Montgomery","KS",31679,50.4,49.6,2.5,23.8,19,82.4,4.9
"Morris","KS",5377,51.3,48.7,3.7,20.9,24.7,95.6,0.1
"Morton","KS",2744,47.8,52.2,2,25.6,19,86.2,0.3
"Nemaha","KS",10197,50.6,49.4,5.2,27.7,19.4,96.1,0.5
"Neosho","KS",15926,49.1,50.9,2.9,24.9,19.7,93.9,1.2
"Ness","KS",2717,51,49,4.5,20.7,24.4,86.5,0.8
"Norton","KS",5457,56.1,43.9,3.8,20,20.7,90.6,3.1
"Osage","KS",15811,50.4,49.6,2,23.4,19.9,94.9,0.5
"Osborne","KS",3512,50.3,49.7,5.7,21,24.6,94.8,0.5
"Ottawa","KS",5778,52.1,47.9,1.6,23,20.2,95.1,0.9
"Pawnee","KS",6356,55.6,44.4,1.4,14.8,20.9,87.8,6.8
"Phillips","KS",5022,50.5,49.5,3.7,22.2,23.4,94.7,1.9
"Pottawatomie","KS",25082,50,50,1.9,29.7,14.2,92.8,1.8
"Pratt","KS",9266,49.9,50.1,2.7,25.3,19.8,92.5,2
"Rawlins","KS",2531,51.7,48.3,3.8,21.7,26.6,93.5,0.6
"Reno","KS",62071,50.5,49.5,3.6,22.5,19.8,88.9,2.4
"Republic","KS",4707,49.6,50.4,5.4,22.7,26.5,96.5,0.8
"Rice","KS",9464,51.7,48.3,2.4,23.1,19,86.2,1.8
"Riley","KS",72602,52.4,47.6,1.4,16.5,9.4,81,6.2
"Rooks","KS",4975,48.8,51.2,4.9,22.8,22.7,95,1.2
"Rush","KS",2883,50.7,49.3,5.1,22.3,24.3,91.8,0.3
"Russell","KS",6747,49.3,50.7,5.7,22.3,24.1,91.1,1.7
"Saline","KS",54378,50,50,2.8,23.4,17.5,87.4,2.9
"Scott","KS",5163,52.5,47.5,2.9,28.4,19.2,89.8,0
"Sedgwick","KS",520467,49.6,50.4,1.8,25.7,14.6,74.4,8.4
"Seward","KS",22223,52.6,47.4,1.8,31.4,9.9,52.9,2.7
"Shawnee","KS",179053,48.6,51.4,2.4,23.7,18.2,79.9,8.3
"Sheridan","KS",2459,50.7,49.3,3.2,25.4,22.6,94.3,0.6
"Sherman","KS",5965,51.8,48.2,4.1,24.2,19.7,87.9,1.5
"Smith","KS",3588,50.8,49.2,4.5,20.3,27.4,95.7,0.4
"Stafford","KS",4106,52.3,47.7,3.5,24.5,21.1,92.7,0.3
"Stanton","KS",2088,54.6,45.4,1.8,31.2,17.3,87.7,0
"Stevens","KS",5320,53.4,46.6,2.6,29.1,15.6,74.1,0.4
"Sumner","KS",22603,51,49,3,24.5,18.8,92,0.8
"Thomas","KS",7902,49,51,2.8,24,16.8,92.7,0.8
"Trego","KS",2825,50.5,49.5,6.5,19.2,26.8,96.7,0.1
"Wabaunsee","KS",6881,51,49,2.5,23.7,20.1,94.4,0.7
"Wallace","KS",1529,49.7,50.3,8.1,24.7,24.5,94.5,0.3
"Washington","KS",5531,51.8,48.2,3.9,22.7,23.8,96,0.2
"Wichita","KS",2150,47.9,52.1,2.7,23.3,18.9,83.3,0.7
"Wilson","KS",8713,49.8,50.2,3.1,24.2,21.7,94.4,0.3
"Woodson","KS",3162,52.9,47.1,3.8,19.5,25.2,92.9,0.1
"Wyandotte","KS",168333,50,50,1.2,27.9,12.5,53.1,20.7
"Adair","KY",18832,50.5,49.5,2,20.4,18.4,93.1,2.3
"Allen","KY",20604,49.7,50.3,2,23.4,17.3,96.3,0.5
"Anderson","KY",23646,50,50,1.2,23.8,15.8,94.3,2.4
"Ballard","KY",7814,50.6,49.4,2.8,20.7,21.2,92.7,3.9
"Barren","KY",44277,48.6,51.4,2.1,23.8,17.6,91,3.5
"Bath","KY",12680,50.3,49.7,1.4,25.9,16.6,96.1,1.5
"Bell","KY",24674,49.8,50.2,2.5,21.6,18.4,94.7,2.1
"Boone","KY",134599,49.8,50.2,1.2,26.2,13.5,88.4,3.7
"Bourbon","KY",20281,49.5,50.5,1.5,22.8,18.6,87.5,5.1
"Boyd","KY",48447,50.2,49.8,2.1,21.6,19.5,93.3,1.9
"Boyle","KY",30469,50.3,49.7,2.4,20.3,18.5,85.9,7.8
"Bracken","KY",8394,50.6,49.4,1.1,24.3,16.6,96.3,2.1
"Breathitt","KY",13652,50.4,49.6,1.1,21,17.3,96.2,1
"Breckinridge","KY",20345,49.8,50.2,1.7,22.8,19.1,95.1,2
"Bullitt","KY",81729,50.1,49.9,1.5,21.8,15.9,94,1.1
"Butler","KY",12413,50.7,49.3,2.1,23.1,18.2,96.4,0.6
"Caldwell","KY",12641,48.5,51.5,3.6,22.7,21.1,91.9,6.5
"Calloway","KY",37291,48.9,51.1,1.8,18.2,16.9,90.7,3.5
"Campbell","KY",93023,49.4,50.6,1.7,20.9,16,92.9,2.6
"Carlisle","KY",4821,50.3,49.7,3,23.3,20.2,94.9,0.8
"Carroll","KY",10808,51.4,48.6,1.3,26.4,15.4,89.7,3.5
"Carter","KY",26820,49.3,50.7,1.9,22.8,18.8,96.4,0.4
"Casey","KY",15863,48.2,51.8,1.7,23.1,20.4,95.8,0.9
"Christian","KY",72377,53.1,46.9,1.6,27.2,12.3,70,19.7
"Clark","KY",36716,48.8,51.2,2.2,22.5,17.7,91.5,4.3
"Clay","KY",20484,52.9,47.1,1.6,21.3,15.8,91.9,5.3
"Clinton","KY",9372,50.5,49.5,2.7,21.5,19.6,95.9,0.4
"Crittenden","KY",8997,50.8,49.2,2,22.5,20.1,95.9,0.7
"Cumberland","KY",6023,48.9,51.1,2.2,21.8,21.3,91.6,2.6
"Daviess","KY",102488,49,51,2,24.6,17,88.4,4.7
"Edmonson","KY",12165,51.3,48.7,2,19.3,20.6,94.9,1.6
"Elliott","KY",7414,56.8,43.2,1.2,18,19.9,96.1,3.4
"Estill","KY",14157,50,50,2,22.1,18.8,96.3,0.1
"Fayette","KY",321354,49.2,50.8,1.4,21,13.5,72.8,14.6
"Fleming","KY",14996,49.5,50.5,1.7,24.4,17.6,95.5,1.5
"Floyd","KY",36127,48.9,51.1,1.6,22.2,18.3,96.9,0.9
"Franklin","KY",51319,48.4,51.6,1.3,21,17.7,82,9.5
"Fulton","KY",6507,50.8,49.2,1.8,21.7,21,71.6,22.3
"Gallatin","KY",8694,51.4,48.6,1.8,24.3,13.8,90.2,2.3
"Garrard","KY",17018,49.5,50.5,1.9,21.6,18,93.5,2.4
"Grant","KY",24918,49,51,1.6,27.4,13.6,93.7,0.1
"Graves","KY",36796,48.6,51.4,2.1,24.3,18.2,88.5,4.1
"Grayson","KY",26351,49.7,50.3,1.4,24.1,17.5,96.2,0.3
"Green","KY",11141,50.1,49.9,1.7,21.6,19.7,95.1,1.8
"Greenup","KY",35996,49,51,2.4,21.6,20.9,96,0.9
"Hancock","KY",9050,51.4,48.6,1.7,24.7,16.8,95.5,1.4
"Hardin","KY",110134,49.9,50.1,1.4,24.7,14,78.1,11.8
"Harlan","KY",26921,48.2,51.8,1.8,23.3,18.2,94.9,2.2
"Harrison","KY",18690,49.2,50.8,2.2,22.8,18.2,94.7,1.5
"Hart","KY",19194,49.6,50.4,1.4,24.8,16.1,92.7,4
"Henderson","KY",45102,48.2,51.8,1.4,22.9,17.8,86.9,7
"Henry","KY",15691,49.6,50.4,1.5,23.8,17.2,92,2.7
"Hickman","KY",4529,48.1,51.9,3.8,19.9,24.2,86,8.8
"Hopkins","KY",45432,49,51,1.5,23,18.4,89.5,6.1
"Jackson","KY",13029,50.7,49.3,1.1,23.1,17.4,97.9,0.3
"Jefferson","KY",780449,48.6,51.4,1.9,22.2,16.2,69,22
"Jessamine","KY",53016,48.6,51.4,1.7,24,15.1,89.7,4.4
"Johnson","KY",22794,49.4,50.6,1.6,22.2,18.1,97.1,0.8
"Kenton","KY",168264,49.7,50.3,1.4,23.8,14.5,88.9,4.5
"Knott","KY",14506,49.6,50.4,1.4,20,18.7,97.1,1
"Knox","KY",30367,48.5,51.5,1.9,23.7,16.9,95.9,0.9
"Larue","KY",14768,50,50,1.5,22,17.2,93.2,3.4
"Laurel","KY",62090,49.4,50.6,1.6,23.3,16.4,96.5,0.7
"Lawrence","KY",16274,49.5,50.5,2.1,23.9,18.8,97.7,0.1
"Lee","KY",7263,56.7,43.3,2.2,19.8,17.8,95.1,1.3
"Leslie","KY",10622,50.7,49.3,1.2,21.1,17.9,97.1,0.4
"Letcher","KY",21784,49.6,50.4,1.3,22,19.3,97.5,0.4
"Lewis","KY",13103,50.4,49.6,2,23.1,18.4,97.4,0.1
"Lincoln","KY",24314,49.2,50.8,1.8,23.9,18.3,93.9,2
"Livingston","KY",8989,49.1,50.9,1.2,20.6,21.9,96.6,0.7
"Logan","KY",27319,48.9,51.1,1.8,23.9,18.4,90,6.2
"Lyon","KY",8700,54.7,45.3,2.5,14.1,26.1,91.7,5
"Madison","KY",92194,49,51,1.3,20.9,13.8,90.6,4.1
"Magoffin","KY",11818,50.3,49.7,2.1,22.9,17.5,97.9,0
"Marion","KY",19556,50.6,49.4,1.7,23.8,16.4,89.3,6.9
"Marshall","KY",31662,49.7,50.3,2.4,20.6,21.7,96.6,0.9
"Martin","KY",11394,56,44,1.6,19.8,16.6,90,5.3
"Mason","KY",17103,49.4,50.6,1.8,23,18.3,88.4,6.2
"McCracken","KY",67394,48.1,51.9,2.2,22.4,19.8,84,10.4
"McCreary","KY",17044,55.1,44.9,0.8,23,15.7,89.9,6.4
"McLean","KY",9182,49.9,50.1,1.7,23.5,19.4,96.7,1.3
"Meade","KY",29735,50.6,49.4,1,22.5,14.3,91,3.8
