"county","state","total_population","males","females","old_85","children","old_65","white_pct","black_pct"
"San Mateo","CA",762488,49.8,50.2,2.3,20.4,16.2,45.9,2.4
"Santa Barbara","CA",447651,50.3,49.7,2.3,22.5,15.2,65.9,1.9
"Santa Clara","CA",1932022,50.9,49.1,1.9,21.8,13.6,39,2.5
"Santa Cruz","CA",272138,49.8,50.2,1.9,19.1,16.8,68.5,1.1
"Shasta","CA",181935,49.4,50.6,2.5,21.8,20.4,83.3,1.1
"Sierra","CA",3079,46.8,53.2,1.4,15.4,27.8,90.2,0.1
"Siskiyou","CA",44151,50.3,49.7,2.6,20.3,25.5,81.8,1.7
"Solano","CA",451432,50,50,1.7,22.3,15.9,48.5,13.4
"Sonoma","CA",492498,49.1,50.9,2.4,19.7,19.9,70.4,1.6
"Stanislaus","CA",550842,49.8,50.2,1.6,27.3,13,64.8,3
"Sutter","CA",99080,50.2,49.8,1.9,26,15.2,58.5,1.9
"Tehama","CA",65345,49.8,50.2,2.1,24.1,19.6,80.6,0.9
"Trinity","CA",15818,51.1,48.9,2.5,16.3,27.8,82.4,0.6
"Tulare","CA",470999,50.2,49.8,1.4,30.8,11.3,59.3,1.7
"Tuolumne","CA",55243,52.1,47.9,3.3,17,26.2,85.4,1.7
"Ventura","CA",845255,49.8,50.2,2.1,22.9,15.7,70.1,1.8
"Yolo","CA",216703,48.6,51.4,1.6,21,12.5,63.3,2.6
"Yuba","CA",80404,50.6,49.4,1.3,27.7,12.5,69.2,3.6
"Adams","CO",514969,50.8,49.2,1,26.3,10.5,71,3.4
"Alamosa","CO",16377,50.5,49.5,1.3,24.5,13.6,73.1,2.1
"Arapahoe","CO",651621,49.9,50.1,1.5,23.4,13.2,67.2,11
"Archuleta","CO",13267,50.6,49.4,1.6,17.8,26.1,80.4,0.3
"Baca","CO",3519,49.4,50.6,4.3,21.9,24.7,91.2,0.6
"Bent","CO",5861,62.3,37.7,3,15.6,18.6,76.2,5.1
"Boulder","CO",328713,50.5,49.5,1.7,18.9,14.7,84.9,0.9
"Broomfield","CO",72697,50.2,49.8,1.9,22.4,14,83,1.4
"Chaffee","CO",19436,51.8,48.2,2.8,15,25.4,92,1.4
"Cheyenne","CO",1691,50.8,49.2,1.8,28.6,19.5,88.1,0.3
"Clear Creek","CO",9427,50.7,49.3,1,12.9,20.7,92.1,1.4
"Conejos","CO",7579,50.4,49.6,1.4,26,19.3,74.6,0.5
"Costilla","CO",3517,53.1,46.9,1.5,15.7,26.3,69.7,0
"Crowley","CO",6018,67.1,32.9,3,15.3,14,75.2,4.4
"Custer","CO",4720,47.6,52.4,2.5,15.5,33.6,94.7,1.7
"Delta","CO",31133,50.3,49.7,2.8,19.5,25.9,91.7,1.3
"Denver","CO",706799,50.3,49.7,1.4,19.2,11.7,68.8,9
"Dolores","CO",2288,55.2,44.8,1.4,11.9,33.9,85.4,0
"Douglas","CO",351929,50.3,49.7,1.1,25.4,12.3,85.7,1.5
"Eagle","CO",55693,53.5,46.5,0.4,21.4,12,81.4,0.9
"El Paso","CO",722736,50.7,49.3,1.4,24,12.9,76.2,6.1
"Elbert","CO",25897,50.7,49.3,1.4,21.4,16.7,89.4,0.3
"Fremont","CO",49007,58.4,41.6,2,16.2,21.5,88.8,4.5
"Garfield","CO",61221,51.3,48.7,1.5,25.2,13.3,80.6,0.5
"Gilpin","CO",5812,52.9,47.1,2.1,14.8,17.3,92.5,0.9
"Grand","CO",15629,53.5,46.5,1.3,17.6,18,89.4,0.9
"Gunnison","CO",16851,55,45,0.8,16.6,14.3,92.6,0.9
"Hinsdale","CO",858,45.3,54.7,0.3,11.2,31.2,89.3,1
"Huerfano","CO",6787,51.1,48.9,3.7,16,33.5,88.2,0.1
"Jackson","CO",1375,53.8,46.2,3.8,14.4,36.2,96.8,0.7
