"county","state","prop_higher_education","mean_household_income","unemployment","private_insurance","public_insurance","no_insurance","total_population","males","females","old_85","children","old_65","white_pct","black_pct"
"Arlington","VA","76.3",165900,2.9,87.7,15.6,6,235764,50.3,49.7,1.3,18.2,10.8,67.2,9.4
"Augusta","VA","22.6",82373,3,73,35.4,8.1,76948,51.2,48.8,2.4,19.2,21.1,91.6,4.4
"Bath","VA","18.6",70728,1.7,54.8,53.2,7.2,4243,50.7,49.3,3.5,14.1,28.4,95.6,3.7
"Bedford","VA","31.0",89800,3.1,76.6,34.5,6.5,79183,49.4,50.6,2.1,20,21.5,88.1,6.2
"Bland","VA","13.3",65413,4,66.8,42.1,5.4,6278,57.5,42.5,3.1,15.8,23.2,94.1,4.6
"Botetourt","VA","27.4",91937,3.1,77.6,32.6,5.5,33542,49.7,50.3,2.3,19.2,22.4,93,2.6
"Bristol city","VA","23.4",61950,3.7,55.9,44,13.2,16996,47.4,52.6,3.1,19.9,22.1,88.4,6
"Brunswick","VA","16.1",65041,6.9,63.5,46.5,5.7,16044,53.8,46.2,2.2,16.5,21,41,55.2
"Buchanan","VA","11.3",49235,5.8,46.9,58.9,8.3,20615,50.3,49.7,2.5,17.1,22.1,94.7,2.3
"Buckingham","VA","11.8",64503,7,58.2,43.5,11.8,16832,55.2,44.8,2.2,18.1,19.4,61.6,32.9
"Buena Vista city","VA","19.5",81923,1.3,66.2,40.2,7.9,6649,45.6,54.4,2,20.5,18.3,87.9,7.5
"Campbell","VA","24.0",69885,4.4,68.7,36.9,8,55656,48.7,51.3,2.6,20.2,19.9,80,14.2
"Caroline","VA","22.0",97885,4.1,75.5,32.4,6.8,30861,49.5,50.5,1,22.2,16.1,65.1,25.5
"Carroll","VA","15.2",59606,5.1,60.6,45.8,9.8,29123,50.9,49.1,2.5,18.3,24.4,95.5,0.7
"Charles City","VA","15.6",87501,3.4,66.3,41.7,7.8,6817,50.1,49.9,1.9,15.1,25,44.2,44.3
"Charlotte","VA","15.1",62777,4.1,58.7,45.7,10.2,11605,50.8,49.2,1.8,22.1,21.9,70,26.8
"Charlottesville city","VA","58.0",98389,4.3,78.8,23.4,7,46597,48.2,51.8,1.3,15.7,12,69.7,18
"Chesapeake city","VA","35.5",104765,5.1,78.8,28.5,6.7,247172,49.2,50.8,1.2,24.4,13.3,58.3,29.6
"Chesterfield","VA","41.4",110902,4.7,78,28.3,7.5,359798,48.4,51.6,1.4,23.9,15,63.7,23.4
"Clarke","VA","35.2",110382,3.7,80.3,28.1,7.9,14726,49.8,50.2,2.6,19.5,20.9,89,4.8
"Colonial Heights city","VA","25.9",80723,6.5,72.6,38.1,7.8,18127,46,54,3.2,23.3,18.8,73.2,17
"Covington city","VA","13.8",52783,3.4,60.7,44.8,8,5716,47.7,52.3,1.5,22.3,19.2,81.8,12.1
"Craig","VA","20.7",71043,1.4,67.3,46.7,3.7,4914,48.2,51.8,3.1,22.1,23.2,96.2,0
"Culpeper","VA","26.5",103870,4.2,71.3,31.9,9.1,52021,49.9,50.1,1.4,24.6,15.4,72.2,13.5
"Cumberland","VA","17.3",79042,2.7,70.8,34.6,9.5,9669,50.4,49.6,4.1,19.7,22.3,63.6,30.5
"Danville city","VA","18.1",55357,6,54.1,50.9,9.4,42556,46.4,53.6,3.1,22.1,20.3,43.4,49.3
"Dickenson","VA","10.4",50376,4.6,52.3,57.1,7,14256,51.1,48.9,2.3,19.4,22.5,98,0.8
"Dinwiddie","VA","17.6",85341,6.2,73.4,35.9,6.1,28040,50,50,0.9,20.9,17.5,64.5,31.5
"Emporia city","VA","12.3",52278,15.9,45.7,57,7.4,5761,46.7,53.3,2.2,28.7,16.6,21.5,63.5
"Essex","VA","15.9",65351,8.6,57.6,51.8,10.1,10621,46.1,53.9,3.1,18.8,23,55.7,38.2
"Fairfax","VA","63.5",170527,4.2,82.6,21.1,7.6,1146825,49.9,50.1,1.4,23.5,13.6,56.6,9.8
"Fairfax city","VA","61.4",149070,3.6,83.6,20.8,6.9,23980,48.8,51.2,2,22.4,14.8,63.2,5.4
"Falls Church city","VA","78.7",193242,5.1,95.7,13.9,1.1,14494,49.9,50.1,1.4,24.5,13.2,76.4,4.7
"Fauquier","VA","37.7",136661,2.9,81.8,24.2,7.7,72416,49.6,50.4,1.5,23.4,16.4,84.3,6.9
"Floyd","VA","21.1",64290,3.4,71.3,35.8,7.1,15536,48.5,51.5,3,18.9,23.6,94.3,2.8
"Fluvanna","VA","36.3",118639,2.8,77.9,29.6,8,27078,46.8,53.2,2,20,19.9,78.5,14.4
"Franklin","VA","22.6",80744,2.9,65.1,42.2,9.3,54829,49.4,50.6,2.2,19.1,23.5,88.3,7.7
"Franklin city","VA","21.0",60168,8.5,57.4,55.5,4.4,8249,47,53,2.8,25.7,19.9,37.9,53.3
"Frederick","VA","27.6",103670,3.7,74.4,30.9,8.4,90287,50.2,49.8,2.1,23,17.4,87.8,4
"Fredericksburg city","VA","42.7",100399,5,73.4,27.3,10.1,28027,46.1,53.9,1.2,20.9,11,61.9,20.7
"Galax city","VA","17.9",68466,5.1,56.4,46.4,14.4,6681,46.1,53.9,2.8,23.9,18,81.9,7.2
"Giles","VA","18.5",67057,2,68.8,36.2,8.5,16764,49,51,2.8,20.4,21.2,95.7,1.9
"Gloucester","VA","25.3",91499,3.3,75.8,33.9,5.7,38586,49.5,50.5,2,20.2,19.3,85.4,8.6
"Goochland","VA","46.1",143602,3.1,83.6,30.5,3.9,24300,50.2,49.8,1.8,17.6,22.6,79,15.3
"Grayson","VA","15.6",59289,4.6,57.1,44.6,13.2,15418,51.2,48.8,2,16.5,24.7,92.2,4.9
"Greene","VA","28.6",95228,4,73.4,33.1,8.2,20374,48.2,51.8,1.5,23.9,17.9,81.3,6.3
"Greensville","VA","10.9",70353,8.9,58.2,48,10.6,11465,62.6,37.4,1.5,15.5,15.2,37,55.5
"Halifax","VA","16.4",59487,5,59.2,49.3,7.8,34228,48.2,51.8,2.7,20.4,24.2,60.7,35
"Hampton city","VA","27.3",76834,6,70.2,39.1,7.6,136748,48.3,51.7,1.7,21.4,15.3,39.4,49.4
"Hanover","VA","40.5",119156,3.1,82.1,27.1,4.9,109232,49.5,50.5,2,22,17.9,84.1,8.7
"Harrisonburg city","VA","34.5",69164,5.3,70.9,25.5,11.1,52062,48.7,51.3,1.2,16.5,9,73.2,7.2
"Henrico","VA","44.9",105943,4.1,76.7,28.6,6.9,331924,47.7,52.3,2.1,22.7,15.5,53.6,29.6
"Henry","VA","15.1",54768,5.9,52.6,52,8.9,51077,47.8,52.2,2.9,19.6,23.8,71.8,22.8
"Highland","VA","28.1",62330,16.1,54.1,62.2,8.1,2229,47.4,52.6,5,13.5,33.4,92.3,0
"Hopewell city","VA","11.4",57370,8.6,55,50.1,7.7,23020,46.9,53.1,1.8,25.8,14.6,47.4,44.3
"Isle of Wight","VA","29.1",105172,5.6,78.7,31.4,6.3,38301,49.7,50.3,1.7,21.2,18.9,71.2,22.6
"James City","VA","50.5",118227,4.4,81.5,35.1,5.2,77733,48.3,51.7,2.8,20.1,25.2,78.1,12.7
"King George","VA","34.9",112605,2.9,82.5,28,4.7,26597,50.7,49.3,1.6,24.9,13.1,75.2,16.7
"King William","VA","24.9",85783,3,80.2,29.7,5.4,17511,50.2,49.8,2.2,22.8,16.1,78.8,15.2
"King and Queen","VA","21.3",80692,3.2,68.1,42,5.3,6690,53.1,46.9,1.5,18.8,23.3,66.9,24.4
"Lancaster","VA","33.3",92392,11.7,70,49.3,7.8,10916,47.6,52.4,5.5,15.9,35.7,67.3,29.3
"Lee","VA","10.8",49746,9.4,48.3,56.2,10.8,22482,52.7,47.3,1.3,18.4,21.7,94.1,4
"Lexington city","VA","60.5",72448,3.4,90.7,20.4,2,7287,59.4,40.6,1.6,8.2,13.7,82.7,5.5
"Loudoun","VA","63.0",184367,3.4,87.5,15.1,5.5,413574,50,50,1.1,28,9.5,59.8,7.6
"Louisa","VA","25.8",95567,6.2,69.1,38.9,7.8,37136,49.6,50.4,1.3,20.2,19.7,78.6,13.7
"Lunenburg","VA","11.8",58615,4.8,63,45.7,9.5,11982,52.5,47.5,2.8,19.6,21.9,60.3,33.4
"Lynchburg city","VA","38.3",70515,6.1,69.6,34,7.6,78973,46.8,53.2,1.9,19.1,14,63.6,28.5
"Madison","VA","24.7",93281,5,68.3,39.6,5.8,13731,49.1,50.9,1.5,20.7,22.8,86.4,7.4
"Manassas Park city","VA","25.6",110185,3,62.4,25.3,17.7,17081,52.1,47.9,1.5,25.3,8.5,51.9,16.3
"Manassas city","VA","32.1",120353,5,64,27.1,17.5,42596,50.8,49.2,1.1,26.7,10.4,57.6,13.2
"Martinsville city","VA","22.1",54571,5.5,50,50.9,9.9,13476,46.3,53.7,2.4,25.3,17.4,45.4,45.3
"Mathews","VA","29.9",98926,7,66.5,45.1,10.2,8548,48.5,51.5,3.1,16.3,29.9,87,9.3
"Mecklenburg","VA","22.3",66033,3.4,65.5,45.3,8.2,30347,49.5,50.5,3.1,18.8,25.4,62.5,34
"Middlesex","VA","27.1",79326,6.2,67.5,51.3,6.6,10686,50.6,49.4,4.2,15.1,32,78.8,15.7
"Montgomery","VA","45.9",79801,3.6,79.9,24.4,5.9,99294,51.8,48.2,1.2,15.6,12.9,84.9,4.3
"Nelson","VA","30.3",94696,4.7,65.5,44,8.2,14795,49.7,50.3,2.3,17.5,27,84.4,12.4
"New Kent","VA","32.8",116932,3.1,85.4,24.4,4.4,22519,51.5,48.5,1.3,20,17.6,80.5,12.7
"Newport News city","VA","28.1",75634,5.7,67.3,36.5,9.7,185069,48.5,51.5,1.4,23.4,12.9,45.5,41
"Norfolk city","VA","31.8",77300,7.1,65,36.1,10.8,238556,52.3,47.7,1.3,19.6,11.3,45.8,40.7
"Northampton","VA","28.1",77110,5.3,62.9,46.4,10.8,12226,48,52,3.8,19.5,27.1,59.9,32.1
"Northumberland","VA","33.9",90763,7.3,71.7,51.5,8.2,11965,47.4,52.6,3.3,15.1,38.8,71.5,21.7
"Norton city","VA","21.9",54373,8.2,58,46.6,10.1,3696,46.9,53.1,3.8,17.4,21.2,96.5,2.4
"Nottoway","VA","16.3",75649,5.8,59.3,41.8,13.4,15667,54.9,45.1,3,19.3,18.8,57,39.9
"Orange","VA","26.1",93839,5,74,35.2,7.1,36001,49.7,50.3,1.9,21.2,19.8,79.2,12.8
"Page","VA","14.6",63680,4.3,65.1,39.3,12.4,23734,50.2,49.8,2.2,20.2,20.9,93.6,1.2
"Patrick","VA","16.4",64785,2.9,60.8,45.4,8.2,17661,50.2,49.8,2.7,17.4,26.4,91.5,5.7
"Petersburg city","VA","22.0",55373,12.2,55.8,48.8,10.8,33229,46.2,53.8,2.3,21.8,16.8,17,76.6
"Pittsylvania","VA","14.2",63382,5.4,62.4,44.8,7.6,60833,49.5,50.5,2,18.8,22.8,75,19.9
"Poquoson city","VA","40.9",120555,1.6,88.4,25.6,2.9,12382,50.1,49.9,2.1,21.9,19.4,93.1,1.5
"Portsmouth city","VA","21.0",68483,6.3,62.4,43,9.2,97454,48.4,51.6,1.8,23.4,14.8,38.1,52.2
"Powhatan","VA","31.1",117776,1.9,83.4,27,4.9,29979,52.7,47.3,1.2,18.2,18.8,86.2,9.1
"Prince Edward","VA","25.0",64460,4.5,70.6,35,8.3,21887,51.3,48.7,2.2,15.6,16.2,62.6,31.2
"Prince George","VA","24.4",92283,7.2,79.6,32.8,5.1,42170,53.8,46.2,1.4,22.2,14.1,57.6,31.2
"Prince William","VA","42.7",138545,4.9,78.1,22.3,10.5,477224,50.3,49.7,0.8,27,10,52.8,20.9
"Pulaski","VA","19.6",70306,3.7,67.2,40.6,6.9,33893,50.4,49.6,1.6,18,22.4,91.8,5
"Radford city","VA","40.4",60628,7.3,78,22.2,6.7,16205,46,54,1.2,11.3,9,84.6,9.1
"Rappahannock","VA","31.8",124038,3.7,67.2,38.7,13.5,7400,51.1,48.9,2.4,18.7,25.4,88.9,4
"Richmond","VA","17.5",74978,2.7,73.3,40.3,6.1,8902,57.8,42.2,2.4,16.7,20.8,61.1,27.1
"Richmond city","VA","43.1",82939,6,63.7,35.5,10.7,225676,47.5,52.5,1.7,17.4,13.2,44.8,45.2
"Roanoke","VA","37.4",96056,2.9,78.4,32.9,4.8,96303,48.4,51.6,2.6,20.2,21.5,86.8,5.8
"Roanoke city","VA","26.8",67598,6.4,59.4,41.6,10.5,99578,47.6,52.4,2.8,22.4,16.7,60.1,29.3
"Rockbridge","VA","28.2",80781,5.3,70.1,42.3,6.8,22663,49.8,50.2,3.5,17.9,26.2,92.4,4
"Rockingham","VA","27.7",87327,3.1,72.6,30.6,10.3,83090,49.4,50.6,2.4,22.3,18.9,91.5,2.6
"Russell","VA","12.2",55479,6.9,56.3,49.4,7.3,25932,49.6,50.4,2.2,18.8,21.7,96.7,1.6
"Salem city","VA","32.2",90891,3.6,78.5,29.5,6,25335,47.6,52.4,2.9,18.9,18.8,86,7.2
"Scott","VA","14.0",56714,4,59.4,48.4,9,21576,51,49,2.8,18.7,23.9,97.7,0.9
"Shenandoah","VA","20.4",76170,3.9,69.2,40.6,6.8,44037,49.3,50.7,2.4,21.4,21.6,90.6,1.9
"Smyth","VA","16.0",56307,3.8,59.2,48,8.2,29960,49.7,50.3,2.4,19.3,21.7,95.4,2.1
"Southampton","VA","19.3",77706,6.3,67.6,41.3,5.4,18028,52.6,47.4,2.2,19.3,20.2,62.5,31.8
"Spotsylvania","VA","33.5",117259,6,76.7,29.6,7.6,138493,49.4,50.6,1.2,24.8,14.2,69.7,16.5
"Stafford","VA","42.3",137350,4.1,83.1,22.6,7.2,154204,50.8,49.2,0.8,26.2,10.4,63.3,18.2
"Staunton city","VA","30.3",72285,5.2,65.1,40.2,8.7,25358,46.1,53.9,3.5,19.2,21,82.4,11.2
"Suffolk city","VA","31.0",104795,6.5,74.7,33.2,6.4,93268,48.7,51.3,1.5,24.1,14.4,49.8,41.2
"Surry","VA","22.6",77897,6.4,67.9,40.1,9.1,6563,49.3,50.7,2.1,17.6,22.8,55.7,43.2
"Sussex","VA","13.2",69388,5.8,63.3,41.8,9.2,10960,59.8,40.2,1.6,15.7,17.6,40.5,56.2
"Tazewell","VA","16.2",61365,6.4,56.6,50.1,7.3,40615,49.6,50.4,2.3,19.5,22.4,93.8,3.8
"Virginia Beach city","VA","38.6",105521,4.3,79.8,27.6,7.1,457658,49.3,50.7,1.6,22.2,14.3,63.9,19
"Warren","VA","22.5",90749,6,69.9,31.9,11.4,40442,49.8,50.2,1.2,22.1,16.1,86.7,4.5
"Washington","VA","24.7",73341,4.8,62.9,42.7,8.7,53997,49.7,50.3,2.2,17.7,23.2,95.6,1.6
"Waynesboro city","VA","27.9",67560,4.6,65.5,40.1,9.6,22149,48.8,51.2,2.9,22.7,16.9,77.6,11.5
"Westmoreland","VA","16.5",77859,11.5,62,47.7,11,18324,48.8,51.2,2.1,18.7,25.4,65.1,25.5
"Williamsburg city","VA","50.4",98178,6.2,82.8,26,6.7,15299,46.7,53.3,2.2,10.8,16.6,70.3,15.7
"Winchester city","VA","33.7",82216,4,64.2,35.4,12.1,28194,48.9,51.1,1.7,22.8,16.3,74.4,9.6
"Wise","VA","14.6",55076,10.6,58.8,48.7,9.2,36531,52.8,47.2,1.7,19.3,18.1,91.6,5.6
"Wythe","VA","19.6",66772,5.1,64.7,41.1,7.3,28347,49.2,50.8,2.5,19.7,21.2,94.2,2.1
"York","VA","48.5",113332,4.7,87.5,25.9,3.6,69635,49.3,50.7,2.1,23.8,16.4,72.2,13.1
"Addison","VT","42.3",94048,4.1,71.4,38.4,5.4,37306,49.7,50.3,2.3,16.6,20.3,92.7,1.2
"Bennington","VT","38.5",86617,4.4,64.2,48.7,4.6,37235,48.6,51.4,3,19,22.5,94.4,0.9
"Caledonia","VT","30.9",74827,3.6,60.9,50,4.7,30402,50.4,49.6,1.9,19.4,21.1,94.6,0.9
"Chittenden","VT","54.1",106006,3.8,78.1,30.9,3.3,167523,49.3,50.7,1.7,17.8,15.2,88.8,2.6
"Essex","VT","19.9",65136,5.5,51.4,61.3,5.4,5972,50.4,49.6,2.6,17.3,25.8,95.4,0.1
"Franklin","VT","27.3",81683,3.6,67.7,42.5,3.6,49752,50.1,49.9,2.2,22.2,16.2,93.9,0.4
