"county","state","prop_higher_education","mean_household_income","unemployment","private_insurance","public_insurance","no_insurance","total_population","males","females","old_85","children","old_65","white_pct","black_pct"
"Daniels","MT","22.3",67748,2.1,75.6,41.2,4.4,1739,51.2,48.8,5.4,21.2,29.2,93,0
"Dawson","MT","23.2",71547,3.6,76.5,31.2,3.3,9003,53.1,46.9,1.9,21,19.7,95.1,1
"Deer Lodge","MT","22.5",59444,4.4,56.2,52.7,7.7,9380,53,47,1.9,13.6,23.9,91.9,0.9
"Fallon","MT","19.2",102480,0,72.7,33.2,8.2,3074,48.6,51.4,2.7,24.8,17.6,93.5,0
"Fergus","MT","26.4",66583,2.2,61.5,43.5,12.5,11464,52.5,47.5,2.9,20.1,24.2,93.3,0.6
"Flathead","MT","33.6",84557,3.4,65.7,40.1,9.1,103400,50.1,49.9,1.7,21.9,19.6,92.7,0.4
"Gallatin","MT","52.2",104611,2.1,76.7,26.1,7.4,116725,52,48,1.1,19.8,12.7,92.1,0.4
"Garfield","MT","21.5",76329,0,65.7,31.3,20.1,972,50.8,49.2,2,21.7,20.1,99,0.4
"Glacier","MT","21.7",58647,8,25.5,43.8,37,13827,49.8,50.2,1.3,29.8,12,30.8,0.3
"Golden Valley","MT","19.3",59021,1.6,53.9,48.7,11.1,820,49.9,50.1,1.5,16.7,26,86.5,1.1
"Granite","MT","32.8",78794,3.7,62.6,48.5,7.1,3333,50.9,49.1,1.5,17.9,29.9,95.3,0.2
"Hill","MT","26.1",66253,4.4,60.5,45.6,5.3,16297,50.5,49.5,1.3,28.1,14.9,69,0.6
"Jefferson","MT","35.8",92497,3.3,72.4,41.4,6,12057,51,49,1.8,20.5,21.9,93.4,0.4
"Judith Basin","MT","23.2",74560,3,63.3,47.6,6.8,2004,56.8,43.2,1.5,23.5,23.1,91.9,0
"Lake","MT","32.5",72873,6.1,52.4,50.8,14,31030,49.7,50.3,1.7,23.4,22.1,65.4,0.4
"Lewis and Clark","MT","42.3",87691,3.5,72.5,39,5,70340,49.8,50.2,1.6,21.6,18.9,92.6,0.5
"Liberty","MT","22.7",76274,0,50.8,58,6.3,2026,43.6,56.4,6.3,26.2,20.3,99,0
"Lincoln","MT","19.1",60483,7.3,51.3,56.5,10.3,19674,50.1,49.9,2.9,18.4,29,93.2,0.1
"Madison","MT","31.9",72176,2.6,65.8,46.2,9.2,8499,52,48,3,15.6,29.5,94.9,0
"McCone","MT","18.2",75722,2.3,63.8,40.4,9.5,1805,53.2,46.8,4,18.9,27.8,93.6,0
"Meagher","MT","29.6",64486,1.2,57.1,52.4,4.5,1932,55.4,44.6,1.5,17.5,32,91.6,0.1
"Mineral","MT","25.1",65761,5.2,57.1,57.3,8.6,4490,52.3,47.7,2.3,19.4,28.2,92.9,0.6
"Missoula","MT","44.2",85169,4.7,72.7,34.3,6.4,117379,50.2,49.8,1.6,18.7,15.8,89.8,0.5
"Musselshell","MT","20.9",69407,4.4,63.1,51.3,4.7,4813,50.8,49.2,1.5,19.1,27.7,93.3,0
"Park","MT","33.3",80705,2.6,67.6,38.6,10.7,17072,50.4,49.6,2.5,17.2,23,94.4,0.4
"Petroleum","MT","28.3",71143,3.1,80.2,37.8,3.9,434,51.8,48.2,1.2,17.5,21,94,0
"Phillips","MT","19.0",64119,5.2,63.1,45.9,9.4,4233,50.9,49.1,2.6,23.7,22,83.4,0
"Pondera","MT","22.7",76335,6.7,58,50.4,7.9,5974,50.2,49.8,2.7,23.7,20.5,81.5,0.3
"Powder River","MT","25.0",76511,0.9,64.1,42.9,9.9,1759,48.2,51.8,4.6,20.4,25.5,92,0
"Powell","MT","18.8",63326,2.9,60.5,49.6,7,6955,62.9,37.1,1.4,15.1,20.1,89.4,1.4
"Prairie","MT","25.7",65067,3.1,46,61.4,4.3,1227,52.3,47.7,3.8,23.6,31.7,97.1,0
"Ravalli","MT","28.4",80721,5.2,60.9,47.8,10.1,43790,50.1,49.9,2.1,19.1,25.7,92.5,0.3
"Richland","MT","16.2",75636,4.2,72.2,31,7.9,11375,50,50,1.6,25.5,16.1,90.8,0.1
"Roosevelt","MT","19.4",58273,12.7,39.2,37.4,29.7,10884,50,50,1.1,34.1,11.3,33.9,0.2
"Rosebud","MT","19.3",68208,6.4,53.5,37.5,19.8,8464,51,49,1.4,28,16.2,51.7,0.3
"Sanders","MT","19.0",59979,5.3,50,59.6,11.3,12298,51.9,48.1,3.1,17.6,31.3,91.5,0.3
"Sheridan","MT","25.7",89051,2.5,69.5,35.5,9.6,3522,51.8,48.2,4.5,20.7,21.8,92.3,0
"Silver Bow","MT","28.0",68196,4.6,62.5,45.7,6.4,35017,51.5,48.5,1.6,20.6,19.1,92.6,0.2
"Stillwater","MT","28.0",90890,3.4,73.4,40.8,5.1,8916,50.7,49.3,2.1,21.6,23.1,94.7,0.1
"Sweet Grass","MT","22.1",75939,2.4,72.6,39.9,7.1,3690,51.8,48.2,2.4,20.5,26.1,95.1,2.2
"Teton","MT","25.2",72571,2.1,63.2,47.9,9,6173,49.3,50.7,3,24.8,22.1,93.2,0.6
"Toole","MT","26.1",78000,3,57.7,43.3,12.1,5013,56.6,43.4,2.4,20.1,18,88.3,2.9
"Treasure","MT","29.3",69036,1.4,72.3,45.9,3.8,693,52.7,47.3,2.6,16.9,26,97.7,0
"Valley","MT","19.1",68359,4.2,66.4,45.4,9,7553,51.9,48.1,1.7,23.5,22.5,84.7,0.3
"Wheatland","MT","17.8",54174,1.6,54.5,49.2,16,2082,45.2,54.8,2.5,20.8,29.3,95.3,0.5
"Wibaux","MT","24.2",64646,0,74.9,32,8.2,1018,48,52,3.4,26.2,23.2,96.3,0
"Yellowstone","MT","33.7",91222,3.9,69.7,38.6,6.1,163593,49.5,50.5,2.1,23.6,17,88.3,0.9
"Alamance","NC","26.3",73206,5.1,66.3,35.7,10.5,169185,47.7,52.3,2.1,22.3,16.7,67.4,19.7
"Alexander","NC","14.9",74719,4.8,64.4,39.3,9.7,36491,50.9,49.1,2.3,20.3,20.2,87.7,5.1
"Alleghany","NC","20.4",60763,4.6,57.9,49.9,12.6,10910,49.2,50.8,3.3,17.1,27.5,93.7,1.7
"Anson","NC","11.8",54977,7.3,55.9,48.1,10.9,22388,50.5,49.5,1.9,20.6,18.7,46.4,48.9
"Ashe","NC","19.6",58846,5.1,66.6,42.4,11.4,26598,49.2,50.8,2.8,17.4,25.8,95.8,0.9
"Avery","NC","23.9",69104,5.7,60.4,41.6,15.9,17747,55.3,44.7,1.9,14.5,21.8,90.2,4.1
"Beaufort","NC","20.4",68762,6.7,60.5,44.5,12.3,44898,47.7,52.3,2.3,20,23.7,70.7,24.3
"Bertie","NC","15.0",59138,7.2,56.4,48.3,11.6,18105,50.8,49.2,2.3,17.2,23.3,34.9,61.3
"Bladen","NC","17.7",60434,6,57.2,51.4,10.7,30105,47.9,52.1,2.2,20.7,22,57.1,34.9
"Brunswick","NC","31.7",84560,5.5,69.6,47.7,8.9,133789,48.3,51.7,1.9,15,31.9,83.4,9.1
"Buncombe","NC","42.3",86019,3.4,66.4,34.8,11.3,266981,48.2,51.8,2.8,18.5,20.1,86.4,5.8
"Burke","NC","18.7",66962,6.1,61.6,42.9,11.8,87829,50.2,49.8,2.7,18.6,20.2,83.3,6.2
"Cabarrus","NC","34.8",98168,5.1,72.8,28.8,8.5,221200,49,51,1.5,25.6,13.1,67.6,19.3
"Caldwell","NC","16.6",64038,5.8,58.8,43.1,11.3,80705,49.6,50.4,2.1,20.3,20.1,87.8,4.2
"Camden","NC","23.8",78241,5.7,81.3,28.4,6,10353,51.4,48.6,1.1,23.1,15.7,81.2,10.6
"Carteret","NC","30.1",80750,5.1,71.1,40.6,10.5,67944,49.4,50.6,2.4,17.5,25.2,88.5,4.4
"Caswell","NC","15.1",64734,5.8,62.3,45,9,22785,51,49,2,18.6,21.7,62.4,32.3
"Catawba","NC","24.0",76316,5.8,63.4,36.7,11.7,159852,49.2,50.8,1.9,22.2,17.7,77.5,8.1
"Chatham","NC","45.0",113331,3.4,72.7,36.2,9.6,75070,47.7,52.3,3.1,20,24.5,76.6,11.4
"Cherokee","NC","22.5",56643,4.6,54.3,51.3,15.7,28515,49.1,50.9,2.7,16.4,30,92.7,1.4
"Chowan","NC","22.6",61113,5.7,63,50.4,7.6,13796,47.5,52.5,4.1,20.6,26,60.1,34.7
"Clay","NC","27.0",71075,3.2,58.1,47.4,14.7,10997,48,52,1.5,16.9,30.7,93.8,2.4
"Cleveland","NC","18.9",61805,7.1,58.9,43.2,11.4,98898,48.2,51.8,2.1,22.3,18.3,73.6,20.3
"Columbus","NC","14.1",57038,5.3,51.2,47.6,14.5,51474,49.8,50.2,2.2,21,19.8,60.9,29.2
"Craven","NC","25.6",74072,5.7,67.8,41.5,10.1,101405,50.2,49.8,2.1,21.7,19.4,69.4,21.4
"Cumberland","NC","25.9",66081,8,63.5,41,10.7,333582,49.8,50.2,1.3,25,12,46.6,37.2
"Currituck","NC","26.1",95025,2.5,72.6,30,12.7,27575,50,50,1.3,22.2,16.5,87.6,5.8
"Dare","NC","40.2",94935,6.1,76.3,30.7,11.3,36718,50.3,49.7,1.6,18.7,21.9,88.9,3.7
"Davidson","NC","19.3",69533,5.4,62,37.4,11.4,168002,49.1,50.9,1.9,22,18.1,83.3,9.6
"Davie","NC","26.2",82268,4.9,67.1,36.8,11,42543,48.8,51.2,1.9,21.4,20.8,86.8,4.6
"Duplin","NC","15.6",58884,7.2,54.5,43.1,16.4,49836,49.2,50.8,2.2,24.1,18.5,65.5,22
"Durham","NC","50.7",93568,4.7,69.6,28.5,11.9,320146,48,52,1.4,20.6,13.3,48.9,35.2
"Edgecombe","NC","17.4",57566,9.3,54.3,49.2,10.2,49609,46.6,53.4,2.1,22.8,19.8,38.7,56.8
"Forsyth","NC","34.5",80797,5.3,66.1,35.3,10.7,380583,47.6,52.4,1.9,23.1,16,62.4,25.9
"Franklin","NC","22.6",76659,6.5,64.7,38.1,10.4,67598,49.8,50.2,1.3,22.1,16.8,65.9,23.7
"Gaston","NC","23.3",75999,5.3,64.4,36.3,10.4,226097,48.5,51.5,1.6,22.7,16,74.2,17.1
"Gates","NC","11.0",64013,9.7,72,38.5,8.3,10584,48.4,51.6,2.9,19.8,20.8,63,30
"Graham","NC","13.5",55524,5.9,57.2,46.2,16.3,8089,47.5,52.5,3.2,20,23.7,86.3,0.2
"Granville","NC","23.4",78634,5.2,65.7,37.7,10,60854,51,49,1.8,20.6,17.1,59.6,29.5
"Greene","NC","10.8",53961,6.9,54.1,43.3,17.2,20524,55.6,44.4,1.6,20.2,16.7,53.5,34.5
"Guilford","NC","37.2",83479,5.5,67.9,33.4,9.3,537113,47.6,52.4,1.9,22.4,15.2,52.5,34.4
"Halifax","NC","14.8",53197,8.5,51.9,49.2,12.1,49291,48.5,51.5,2.3,21.6,20.9,38.6,51.7
"Harnett","NC","23.0",72269,6.1,66.2,34.9,10.9,133074,49.8,50.2,1.2,26,12.6,65.4,21.2
"Haywood","NC","27.7",69259,3.5,64.1,42,12.2,61695,48.7,51.3,2.7,18.2,24.5,93.4,0.7
"Henderson","NC","33.0",79066,3.8,65.8,40.9,12.6,115613,48.3,51.7,3,18.9,25.7,88.5,3.4
"Hertford","NC","16.3",57878,8.5,56.9,49.6,9.7,22010,49.9,50.1,2.1,18.7,20.4,34.4,59.1
"Hoke","NC","19.8",69242,7.5,63.6,38.4,11.9,52169,49.6,50.4,1.2,27.4,10.4,43.4,33.2
"Hyde","NC","11.1",49419,6.8,52.6,42,19.5,4697,53.9,46.1,0.3,20.4,20.6,61.8,28.1
"Iredell","NC","31.6",94543,4.8,70.8,31.7,9.4,183965,49.6,50.4,1.6,23,15.8,78.6,11.9
"Jackson","NC","28.8",68743,6.8,63.3,36.8,15.2,42983,49.3,50.7,1.8,16.9,19.9,81.2,2.1
"Johnston","NC","24.6",84608,4.3,66.5,33.3,11.9,211320,49.3,50.7,1.3,25.4,13.3,72.5,16.2
"Jones","NC","14.7",57392,6.4,53.8,50.1,14.1,9326,50,50,1.9,18.8,23,62.3,27.8
"Lee","NC","20.8",71816,5.2,60.9,39.2,13.4,62676,48.8,51.2,2.1,24.2,16.4,70.9,19.2
"Lenoir","NC","14.0",57931,9.3,55.6,51,11.4,55344,48.3,51.7,2.9,22.8,19.8,52.5,39.6
"Lincoln","NC","24.3",89139,4.5,68.7,34,9.6,85670,49.8,50.2,1.7,21.2,18,87.8,5
"Macon","NC","24.0",66284,4.2,57.9,46.4,14.4,36532,49,51,2.9,18,28.3,91.8,1.4
"Madison","NC","31.7",69965,2.7,64,41,9.6,21269,49.3,50.7,1.6,18.2,22.3,93.8,1.5
"Martin","NC","14.5",57546,10.4,60.3,50.3,8.6,22213,47,53,2.5,20.6,23.3,53.3,42.3
"McDowell","NC","18.3",66438,6.3,62,42.2,11.9,44527,50,50,2.5,20.1,20.4,89.7,3.2
"Mecklenburg","NC","46.9",107685,4.6,70.6,25.7,11.6,1100984,48.3,51.7,1.3,23.5,11.3,49.9,31.4
"Mitchell","NC","22.3",65064,6.4,62.9,42.4,11.3,14951,49.7,50.3,3.6,18.4,24.6,94.2,0.3
"Montgomery","NC","16.5",66666,3.4,53.6,46.3,13.3,25891,48.2,51.8,2.1,21.9,20.3,70.7,17.4
"Moore","NC","40.1",93671,4.3,71.3,38.7,8.6,98618,48.8,51.2,2.6,21.7,23.7,79.4,10.7
"Nash","NC","21.8",70716,7,63,40.4,11.5,94628,48.1,51.9,2.3,22.1,18.2,50.1,40.7
"New Hanover","NC","42.8",90209,5,73.6,31.1,10.5,225175,47.8,52.2,2,18.4,17.9,79.6,12.6
"Northampton","NC","16.7",57290,7.6,58.6,45.8,12.1,17917,49.4,50.6,3,17.6,26.3,39.2,54.9
"Onslow","NC","24.8",68739,6.9,71.6,35.5,10.3,201597,55.6,44.4,0.9,24.4,9.3,72.1,14.3
"Orange","NC","61.3",120580,4.4,80.7,23.8,6.4,147376,47.7,52.3,1.2,19.4,14.4,73.2,11.1
"Pamlico","NC","23.5",71902,5.6,63,50.4,9.3,12293,50.8,49.2,3.2,15,29.8,76.1,18.9
"Pasquotank","NC","25.7",72414,5.2,65.7,39,10.6,40240,49.1,50.9,2.3,22.1,17.1,57.1,36.3
"Pender","NC","29.0",85665,7.2,69.8,37.2,9.6,59964,50.5,49.5,1.9,22.4,17.7,76.6,13.5
"Perquimans","NC","20.3",66977,5.2,65.8,48.2,9.9,13002,47.8,52.2,2.8,19,27.5,72.4,22.8
"Person","NC","17.6",72589,5.2,64,41.2,9.4,38999,48.4,51.6,2.1,20.9,19.9,66.7,25.9
"Pitt","NC","32.6",71372,7.4,69.1,31.1,9.9,170600,47.2,52.8,1.3,21.5,13.4,55.3,35.2
"Polk","NC","33.8",74243,3.8,66.7,45.5,10.4,19413,47.1,52.9,3.8,16.2,30.5,90.6,4.8
"Randolph","NC","16.1",66148,4.6,56.7,40.6,13.3,143735,49.6,50.4,1.9,22.6,17.7,83.1,6
"Richmond","NC","17.5",54136,8.9,52.7,49,10.5,43301,48.8,51.2,1.5,23.5,17.6,58.7,31.8
"Robeson","NC","14.2",53888,6.7,46,48.2,14.6,118836,48.4,51.6,1.2,25.2,15.2,25.7,23.1
"Rockingham","NC","15.6",63854,6.7,59.9,43.6,9.8,90903,48.5,51.5,2.2,20.4,20.4,73.7,18.4
"Rowan","NC","19.9",70778,7.1,59.6,41.9,11.7,145784,49.6,50.4,1.9,22.3,17.4,75.1,16.2
"Rutherford","NC","19.3",63243,6.1,58.6,46.1,12.9,64592,48.5,51.5,2,20.5,21.5,85,9.1
"Sampson","NC","14.7",64315,6.7,52.6,44.8,14.7,59468,49.4,50.6,1.8,24.7,17.9,58.4,25.3
"Scotland","NC","15.3",56645,11.3,49.4,49.7,12.8,34345,49.4,50.6,1.7,23,17.8,42.2,38.6
"Stanly","NC","17.9",74046,4.7,64.6,38.5,11.8,62148,50.6,49.4,2.4,21.8,19,82.8,11.7
"Stokes","NC","14.0",67465,5.4,65.1,40.8,11.1,44588,48.9,51.1,2.7,18.9,20.9,92.2,3.9
"Surry","NC","19.0",68088,4.5,63.1,39.7,12.6,71439,48.9,51.1,2.5,21.4,20.4,88.5,3.9
"Swain","NC","21.4",65756,7.7,48,42.1,21.2,14166,48.4,51.6,2.4,23.1,18.8,63.2,0.8
"Transylvania","NC","35.9",74141,4.9,64.1,45.1,14.3,32979,48.5,51.5,3.8,15.8,30.1,90.8,4.4
"Tyrrell","NC","11.2",51785,3.6,57.4,49,11.7,3436,56.4,43.6,2.9,14.6,22.6,57.9,36.4
"Union","NC","37.7",118880,4.5,75.9,25.7,8.7,235699,49.5,50.5,1.2,26.7,12.6,76.6,11.4
"Vance","NC","17.1",62444,6.5,55,48.9,10.7,42650,46.9,53.1,1.7,24,18.4,41.1,47.9
"Wake","NC","54.7",116832,4.3,78.3,22.9,8.6,1112883,48.9,51.1,1.2,23.8,11.8,62.5,19.9
"Warren","NC","15.2",63313,9.1,57.6,53.2,10.1,18889,49.7,50.3,3.3,18.2,25.6,38.4,49.4
"Washington","NC","12.5",47333,9.2,60.7,48.7,11.4,11183,49.4,50.6,3.5,20.4,25.1,44.7,48.9
"Watauga","NC","44.4",70308,8.9,75.5,27.6,9,54077,49.4,50.6,1.4,12.8,16.2,93.2,1.8
"Wayne","NC","20.4",68289,4.4,59.9,42.1,12.3,117692,49.3,50.7,1.6,23.9,16.4,60.1,30.5
"Wilkes","NC","16.7",62504,5.8,59.1,43,12.6,66335,49.9,50.1,2.5,20.4,21.6,89.4,3.9
"Wilson","NC","19.7",63403,8.2,57.3,43.5,12.6,78844,47.5,52.5,1.9,23.2,18.3,48.4,39.8
"Yadkin","NC","14.0",68530,4.8,64.5,37.9,12.5,37198,50.1,49.9,2.3,21,19.7,89.3,3.3
"Yancey","NC","20.3",63204,7.9,60.2,44.9,12.4,18357,49.5,50.5,2.9,18.5,25.9,94.7,0.6
"Adams","ND","19.1",72215,0.8,78.2,31.7,9.4,2237,51.4,48.6,5.2,23,26.6,93.9,1.7
"Barnes","ND","29.3",80873,3.4,78.9,31.8,5.9,10869,50.6,49.4,3.1,20,22.1,91.1,1.8
"Benson","ND","19.4",68509,3.3,47.3,54.3,7.6,6090,51,49,1.1,36.2,13.4,38.2,0.2
"Billings","ND","26.7",99860,2.4,81.6,33.3,5.6,839,52.4,47.6,4.5,22.9,24.1,100,0
"Bottineau","ND","24.6",93222,4,76.7,36.4,6.5,6442,52.2,47.8,1.9,22,23.1,91.3,0.3
"Bowman","ND","18.8",90731,4,82,28.9,7.6,3024,50.3,49.7,2.2,24.7,21.9,94.4,0
"Burke","ND","21.8",115281,2.5,86.7,22.9,5.1,2177,53.6,46.4,2.4,26,19.5,93,0.7
"Burleigh","ND","37.2",97337,2.8,82.5,26.2,5.1,97895,50.1,49.9,2.2,23.7,16.2,87.7,2.3
"Cass","ND","41.8",94139,3,82.1,23.1,6,182992,50.6,49.4,1.6,22.7,12.2,85.1,6.1
"Cavalier","ND","24.9",105220,1.8,82.8,31,7.4,3725,52.4,47.6,4.5,22,27.3,93.6,0.1
"Dickey","ND","25.2",80048,3.3,79.6,29.1,4.9,5013,50.1,49.9,4.3,24.4,20.3,95.3,0.5
"Divide","ND","23.4",94936,3.7,72.2,37,8.2,2196,50.6,49.4,5.8,23,24.7,90.7,3.3
"Dunn","ND","19.6",116737,2.4,67.6,28.7,19.6,4054,54.1,45.9,2.4,23.1,17.8,81.1,0.7
"Eddy","ND","24.6",72044,1.7,70.1,42.9,7.5,2378,52.4,47.6,5.9,22.4,26.8,90.5,0
"Emmons","ND","18.0",72504,1.3,78.6,37.4,6.6,3316,50.6,49.4,5.8,19.2,28.7,97.5,0.2
"Foster","ND","22.9",86027,0.1,80.7,31.8,3.4,3396,50.1,49.9,4.9,22.8,22.6,95.4,0.3
"Golden Valley","ND","23.5",95286,3.3,78.1,34.8,2.2,1812,47,53,2.7,20.8,23.1,91.4,0.1
"Grand Forks","ND","36.1",78289,3.8,79.7,26.1,6.3,73101,51.9,48.1,1.7,21.4,12.7,84.4,4.1
"Grant","ND","21.0",80596,2.2,74.8,41.4,5.1,2351,52.2,47.8,5.7,21.9,29.8,94.8,0
"Griggs","ND","29.9",92616,2,82.4,32.5,4.1,2242,49.4,50.6,4.5,20.6,30.2,96.6,0
"Hettinger","ND","16.8",74152,3.7,74.6,37.2,9.8,2502,46.4,53.6,3.6,20.5,23.7,92.6,0.6
"Kidder","ND","19.1",65826,0.8,69.8,37.1,11.8,2397,55.2,44.8,2.5,25.2,23.2,93.7,0.5
"LaMoure","ND","23.3",80127,1.5,81.9,34.6,5.2,4173,52.3,47.7,4.2,23.2,26.2,95.7,0.5
"Logan","ND","22.7",69812,1,82.1,32.6,2.5,1814,50.1,49.9,5,20.9,27.7,96.7,0.1
"McHenry","ND","20.9",85628,4.2,76.7,36.3,4.2,5420,51.5,48.5,2.8,23.8,20.6,96.4,0.6
"McIntosh","ND","16.2",70719,0.6,74.5,42.3,6.8,2568,49.6,50.4,6.6,18.1,30.7,95.4,0.6
"McKenzie","ND","24.0",113155,2.2,72.5,18.7,17.9,13762,54,46,0.5,32.4,8.7,80.2,1.9
"McLean","ND","21.4",87022,1.6,80.5,32.7,4.7,9788,51.6,48.4,2.4,22.3,23.4,88,0.6
"Mercer","ND","21.1",88305,3,75.6,29.4,12.7,8405,51.3,48.7,2.6,23.3,20,92.1,0.2
"Morton","ND","27.3",90885,2.5,79.4,28.1,5.3,32916,50.3,49.7,1.9,23.2,16.4,89.6,1.2
"Mountrail","ND","21.4",94920,3.8,66.2,27,17,9717,54,46,1.5,28.7,11.2,60,1.8
"Nelson","ND","24.6",71427,1.1,79,33.6,7.3,3035,49.5,50.5,6.4,20.4,25.9,93.4,0.4
"Oliver","ND","20.6",83605,3.7,81,33.9,6.3,1850,53,47,1.4,25.1,24,91.8,0
"Pembina","ND","21.6",81738,3.9,76.9,35.1,6.8,6912,52,48,3.6,21.6,23.6,93.2,0.7
"Pierce","ND","28.9",71211,0.8,80.1,33.2,6.1,4038,50.4,49.6,4.2,22.7,23.4,92.4,0.3
"Ramsey","ND","25.5",74862,0.8,72.1,34.8,8.9,11638,50.5,49.5,2.7,24,20.4,82,0.6
"Ransom","ND","21.2",81158,2.7,78.4,34.2,4.6,5679,51.6,48.4,4.2,23,20.7,93.7,0.9
"Renville","ND","23.3",83833,2,77.5,29.6,5.2,2328,52.6,47.4,3.2,25.9,17.6,98.3,0
"Richland","ND","22.6",81268,3,79.1,31.1,5.8,16546,51.6,48.4,2.8,22.4,17.9,90.8,0.7
"Rolette","ND","17.3",66436,7.8,34.3,42.9,27.8,12508,49.4,50.6,1.8,34.3,11.5,16.6,0.7
"Sargent","ND","20.0",89061,1.3,85.1,29.9,2.8,3839,54.2,45.8,2.8,21,22.3,92.9,2.2
"Sheridan","ND","13.9",75226,0.6,71.7,40.1,9.5,1328,51.4,48.6,3.8,16.4,32,96.2,0
"Sioux","ND","13.6",55104,18.4,30.7,41.4,33.2,3993,50,50,0.2,36.8,8,11.2,0.2
"Slope","ND","26.2",83525,4.9,79.1,33.3,2.3,775,54.2,45.8,2.3,20.3,25.5,96.3,0
"Stark","ND","25.9",89684,2.7,79.6,22.4,9,32710,52.2,47.8,1.9,27.4,13,88.7,2.2
"Steele","ND","29.6",89303,2.1,78.4,32.4,5.5,1870,53.2,46.8,3.4,22.7,23.8,94.7,0.4
"Stutsman","ND","23.9",75745,4.7,75.6,30.9,8.1,21678,51.1,48.9,2.8,20.6,19.1,93.1,1.6
"Towner","ND","15.0",70972,3.3,71.6,37.5,9.6,2190,50.7,49.3,3.2,21.9,24.3,88.3,0.5
"Traill","ND","30.4",88114,2.1,77.5,29.8,6.4,8008,51.1,48.9,4,22.9,19.3,93,0.7
"Walsh","ND","18.1",80735,2.4,79.3,32.3,6.7,10631,51.3,48.7,4,23.3,20.9,91.2,0.7
"Ward","ND","29.4",89695,4.3,82.7,24.8,6.6,69686,52.4,47.6,1.9,23.9,12.6,84.2,4.2
"Wells","ND","21.9",79911,1.4,80.9,36.8,5.7,4031,48.2,51.8,5.1,21.8,25.1,97.9,0
"Williams","ND","24.4",105621,3.1,78.6,17.2,13.3,38460,54.6,45.4,1.7,29.5,9.2,79.9,4.8
"Adams","NE","25.8",78031,2.4,73.6,34.8,5.8,31284,49.7,50.3,2.6,24.2,17.7,90.3,0.7
"Antelope","NE","18.4",64799,2.8,75.6,34.7,6.8,6310,50.5,49.5,4.1,24,23.3,96.4,1.2
"Arthur","NE","28.1",71701,0.4,67.6,48.5,8.7,472,48.5,51.5,1.5,28.6,25.8,93.6,0
"Banner","NE","27.3",83090,1.6,71.6,41.3,3.3,605,51.7,48.3,2.6,19.2,31.7,92.9,0
"Blaine","NE","22.8",67027,1.4,73.7,42.5,8.4,346,53.5,46.5,9.5,13.9,34.4,100,0
"Boone","NE","19.5",84843,0.9,77.9,32.1,5.5,5413,50.9,49.1,3.9,24,22.3,97.8,0.1
"Box Butte","NE","18.7",68620,3.7,71.9,33.4,8.9,10821,50.4,49.6,2.1,25.4,18.5,86.9,3.2
"Boyd","NE","16.8",69088,1.5,70,47.9,9,1812,50.2,49.8,4.8,19.2,32,93,0.3
"Brown","NE","22.5",61069,0.6,68.3,41.4,10.4,2752,48.4,51.6,3.7,20.2,28.1,94.9,0
"Buffalo","NE","34.5",81246,2.7,78,26.7,7.4,49840,50.1,49.9,2.2,23.5,14.8,89.8,0.8
"Burt","NE","23.1",74824,4.2,65.7,37.1,10.6,6705,49.7,50.3,3.9,23.1,23.9,93,0.2
"Butler","NE","23.8",84129,1.1,82.1,29.2,5.2,8354,50.1,49.9,3,23.8,20.3,95,0.1
"Cass","NE","29.8",95650,2.8,77.4,28.4,7.4,26546,50.7,49.3,2.2,24,17.5,94.4,0.2
"Cedar","NE","21.7",78483,2.2,79.7,30.7,5.5,8401,50.7,49.3,4.7,25.8,21.3,96.6,0.1
"Chase","NE","22.4",77314,3.1,73.4,33.2,9.2,3694,47.5,52.5,3.7,23.9,24.1,90,0.3
"Cherry","NE","25.8",72584,0.2,69.3,38.6,7.3,5505,51.2,48.8,4.7,24,20.6,87,0.2
"Cheyenne","NE","22.6",67139,2.8,66.1,40,7.6,9575,49.6,50.4,3.2,23.3,19.8,93.1,0.8
"Clay","NE","20.0",81539,3,75.2,32,7.9,6104,50.9,49.1,2.5,24.9,20.1,92.9,0.4
"Colfax","NE","15.1",77817,1,74.2,22.6,11.2,10608,56,44,1.9,30.8,12.9,69.5,2.7
"Cuming","NE","23.6",78349,3,76.3,28.3,8.3,9035,50.4,49.6,3.2,24.9,21.3,90.4,0.5
"Custer","NE","23.5",77193,1.9,72.8,34.9,8.2,10625,50.3,49.7,2.7,24.3,21.8,95.4,0.5
"Dakota","NE","13.8",78637,2.1,67.3,33.2,9.2,21284,50.1,49.9,1.8,29.3,13.6,55.8,7.6
"Dawes","NE","36.4",62777,2.3,76.1,28.9,9.7,8383,48.4,51.6,2.8,18.7,18,86.9,4.6
"Dawson","NE","16.1",74740,3.4,69.7,32.6,9.7,24031,51.5,48.5,2.4,27.4,16.3,76,6.6
"Deuel","NE","19.5",72461,4.4,63.9,40.1,13.5,1878,47.5,52.5,3.7,19.6,22.1,91.2,0.1
"Dixon","NE","21.2",78217,2.5,76.8,30,6.7,5632,51,49,1.7,25.2,20.3,88.1,0.1
"Dodge","NE","19.7",74662,4.8,71.1,35.9,7.9,37249,49.8,50.2,3,24.6,18.9,91.5,0.7
"Douglas","NE","40.7",97527,4.1,73.4,26.8,9.2,578771,49.6,50.4,1.5,25.7,13.1,75.4,10.7
"Dundy","NE","30.4",69008,1,72.7,36.2,9.6,1900,52.9,47.1,3.5,24.3,19.1,98,0.2
